District,Area,Rooms,Total price,Price per meter square
Sielce,71.84,2,1077600.0,15000.0
Śródmieście,113.2,4,1590000.0,14046.0
Ochota,45.0,2,485000.0,10778.0
Wilanów,86.0,3,1100000.0,12791.0
Mokotów,145.12,4,3780000.0,26047.0
Mokotów,168.0,6,1490000.0,8869.0
Włochy,83.7,3,819000.0,9785.0
Wola,57.28,3,600000.0,10475.0
Praga-Południe,66.76,2,726776.0,10886.0
Wola,66.24,3,N/A,N/A
Czerniaków,116.0,6,795000.0,6853.0
Bielany,78.3,3,810000.0,10345.0
N/A,55.12,2,875000.0,15874.0
Wola,54.0,3,645000.0,11944.0
Wilanów,73.3,3,910000.0,12415.0
Białołęka,70.0,3,520000.0,7429.0
Bemowo,43.72,2,475000.0,10865.0
Śródmieście,46.9,2,555000.0,11834.0
Wola,49.0,N/A,598000.0,12204.0
Białołęka,65.0,3,535000.0,8231.0
Ochota,43.12,3,529900.0,12289.0
N/A,55.0,3,595000.0,10818.0
Białołęka,62.7,3,575000.0,9171.0
Białołęka,66.98,3,547400.0,8173.0
Rembertów,80.0,4,540000.0,6750.0
Praga-Południe,63.67,3,749000.0,11764.0
Saska Kępa,73.13,4,850000.0,11623.0
Zacisze,79.5,3,850000.0,10692.0
Rembertów,70.0,3,480000.0,6857.0
Wilanów,59.0,2,815000.0,13814.0
Wola,35.0,1,520000.0,14857.0
Muranów,47.69,3,640000.0,13420.0
Sielce,71.84,2,1077600.0,15000.0
Śródmieście,113.2,4,1590000.0,14046.0
Ochota,45.0,2,485000.0,10778.0
Wilanów,86.0,3,1100000.0,12791.0
Mokotów,145.12,4,3780000.0,26047.0
Mokotów,168.0,6,1490000.0,8869.0
Włochy,83.7,3,819000.0,9785.0
Wola,57.28,3,600000.0,10475.0
Praga-Południe,66.76,2,726776.0,10886.0
Wola,66.24,3,N/A,N/A
Czerniaków,116.0,6,795000.0,6853.0
Bielany,78.3,3,810000.0,10345.0
N/A,55.12,2,875000.0,15874.0
Wola,54.0,3,645000.0,11944.0
Wilanów,73.3,3,910000.0,12415.0
Białołęka,70.0,3,520000.0,7429.0
Bemowo,43.72,2,475000.0,10865.0
Śródmieście,46.9,2,555000.0,11834.0
Wola,49.0,N/A,598000.0,12204.0
Białołęka,65.0,3,535000.0,8231.0
Ochota,43.12,3,529900.0,12289.0
N/A,55.0,3,595000.0,10818.0
Białołęka,62.7,3,575000.0,9171.0
Białołęka,66.98,3,547400.0,8173.0
Praga-Południe,63.67,3,749000.0,11764.0
Rembertów,80.0,4,540000.0,6750.0
Saska Kępa,73.13,4,850000.0,11623.0
Rembertów,70.0,3,480000.0,6857.0
Zacisze,79.5,3,850000.0,10692.0
Wilanów,59.0,2,815000.0,13814.0
Wola,35.0,1,520000.0,14857.0
Muranów,47.69,3,640000.0,13420.0
Wola,82.4,4,960000.0,11650.0
Wawer,180.0,4,1550000.0,8611.0
Praga-Południe,51.5,2,490000.0,9515.0
Śródmieście,49.0,3,942000.0,19224.0
Żoliborz,48.0,2,560000.0,11667.0
Gocław,37.0,N/A,364900.0,9862.0
Wola,69.0,3,895000.0,12971.0
Targówek,75.35,3,795000.0,10551.0
Wola,36.0,2,570000.0,15833.0
Kabaty,83.1,4,898000.0,10806.0
