District,Area,Rooms,Total price,Price per meter square
Antoniuk,37.0,2,250000.0,6757.0
Nowe Miasto,32.7,2,302700.0,9257.0
Bagnówka,67.62,1,331000.0,4895.0
N/A,75.5,4,450000.0,5960.0
Wygoda,71.8,4,489000.0,6811.0
OS. PIASTA,57.71,3,489000.0,8473.0
OS. PIASTA,55.31,3,489000.0,8841.0
OS. PIASTA,59.29,3,420000.0,7084.0
Piasta,33.0,2,230000.0,6970.0
Zielone Wzgórza,65.3,4,369000.0,5651.0
Centrum,59.5,2,390000.0,6555.0
Piasta,48.0,3,297000.0,6188.0
Wysoki Stoczek,60.0,3,345000.0,5750.0
Piasta,32.4,2,215000.0,6636.0
Piasta,32.2,2,205000.0,6366.0
Piasta,32.3,2,205000.0,6347.0
Piaski,36.2,2,255000.0,7044.0
Słoneczny Stok,51.0,3,320000.0,6275.0
OS. SŁONECZNY STOK,69.6,4,409000.0,5876.0
Antoniuk,55.4,3,265000.0,4783.0
N/A,55.15,2,362000.0,6564.0
Skorupy,40.0,2,289000.0,7225.0
Młodych,61.7,3,425000.0,6888.0
Skorupy,42.0,3,299000.0,7119.0
Nowe Miasto,40.62,2,239000.0,5884.0
Wygoda,49.11,3,374000.0,7616.0
OS. SIENKIEWICZA,72.6,4,339000.0,4669.0
Zielone Wzgórza,72.8,4,405000.0,5563.0
N/A,71.9,3,430000.0,5981.0
Wysoki Stoczek,59.87,3,250000.0,4176.0
Wygoda,47.31,3,358000.0,7567.0
Wysoki Stoczek,62.23,3,405000.0,6508.0
Antoniuk,37.0,2,250000.0,6757.0
Nowe Miasto,32.7,2,302700.0,9257.0
Bagnówka,67.62,1,331000.0,4895.0
N/A,75.5,4,450000.0,5960.0
Wygoda,71.8,4,489000.0,6811.0
OS. PIASTA,57.71,3,489000.0,8473.0
OS. PIASTA,55.31,3,489000.0,8841.0
OS. PIASTA,59.29,3,420000.0,7084.0
Piasta,33.0,2,230000.0,6970.0
Zielone Wzgórza,65.3,4,369000.0,5651.0
Centrum,59.5,2,390000.0,6555.0
Piasta,48.0,3,297000.0,6188.0
Wysoki Stoczek,60.0,3,345000.0,5750.0
Piasta,32.4,2,215000.0,6636.0
Piasta,32.2,2,205000.0,6366.0
Piasta,32.3,2,205000.0,6347.0
Piaski,36.2,2,255000.0,7044.0
Słoneczny Stok,51.0,3,320000.0,6275.0
OS. SŁONECZNY STOK,69.6,4,409000.0,5876.0
Antoniuk,55.4,3,265000.0,4783.0
N/A,55.15,2,362000.0,6564.0
Skorupy,40.0,2,289000.0,7225.0
Młodych,61.7,3,425000.0,6888.0
Skorupy,42.0,3,299000.0,7119.0
Nowe Miasto,40.62,2,239000.0,5884.0
Wygoda,49.11,3,374000.0,7616.0
OS. SIENKIEWICZA,72.6,4,339000.0,4669.0
Zielone Wzgórza,72.8,4,405000.0,5563.0
N/A,71.9,3,430000.0,5981.0
Wysoki Stoczek,59.87,3,250000.0,4176.0
Wygoda,47.31,3,358000.0,7567.0
Wysoki Stoczek,62.23,3,405000.0,6508.0
Bojary,56.39,3,270000.0,4788.0
Bojary,59.6,3,363000.0,6091.0
N/A,57.0,3,380000.0,6667.0
Piasta,39.5,2,259000.0,6557.0
Piasta,33.0,2,215000.0,6515.0
Centrum,58.0,3,320000.0,5517.0
Centrum,36.0,2,290000.0,8056.0
Białostoczek,41.2,2,282000.0,6845.0
Wygoda,64.2,3,419999.0,6542.0
Przydworcowe,39.0,2,204000.0,5231.0
Zielone Wzgórza,72.8,4,405000.0,5563.0
Piaski,37.5,1,247000.0,6587.0
N/A,32.0,2,320000.0,10000.0
Dziesięciny,48.0,3,198800.0,4142.0
Skorupy,39.94,2,299900.0,7509.0
Centrum,64.7,3,334000.0,5162.0
Piasta,39.5,2,280000.0,7089.0
Wysoki Stoczek,60.29,3,299999.0,4976.0
Antoniuk,29.0,1,174000.0,6000.0
Zielone Wzgórza,69.7,4,379000.0,5438.0
Dziesięciny,76.0,3,289000.0,3803.0
Antoniuk,29.0,2,185000.0,6379.0
Leśna Dolina,39.4,2,229000.0,5812.0
Piasta,57.86,3,316000.0,5461.0
Nowe Miasto,73.6,3,365000.0,4959.0
Bojary,59.06,3,489000.0,8280.0
Antoniuk,37.3,2,209000.0,5603.0
Centrum,33.5,1,217000.0,6478.0
CENTRUM,63.9,3,388000.0,6072.0
Wygoda,57.67,3,439000.0,7612.0
Piasta,48.1,3,299990.0,6237.0
Sienkiewicza,60.3,3,320000.0,5307.0
Słoneczny Stok,50.6,2,304000.0,6008.0
Nowe Miasto,87.0,4,499999.0,5747.0
Antoniuk,46.0,3,310000.0,6739.0
Białostoczek,39.0,2,194800.0,4995.0
Centrum,63.0,2,315000.0,5000.0
Przydworcowe,33.0,1,215000.0,6515.0
OS. PIASTA,57.86,3,266000.0,4597.0
Słoneczny Stok,50.5,2,299000.0,5921.0
CENTRUM,46.0,3,359000.0,7804.0
Białostoczek,77.0,4,750000.0,9740.0
OS. PIASTA,63.9,4,329000.0,5149.0
OS. PIASTA,83.0,4,428000.0,5157.0
Mickiewicza,54.7,3,325000.0,5942.0
Nowe Miasto,32.7,2,299000.0,9144.0
OS. MICKIEWICZA,48.7,3,369000.0,7577.0
Nowe Miasto,37.2,2,290000.0,7796.0
Bema,39.0,2,237000.0,6077.0
CENTRUM,67.91,4,604399.0,8900.0
Piasta,39.0,2,250000.0,6410.0
Białostoczek,60.5,2,300000.0,4959.0
Sienkiewicza,60.0,3,282000.0,4700.0
Antoniuk,42.0,2,210000.0,5000.0
Bojary,94.1,4,479000.0,5090.0
CENTRUM,60.0,2,390000.0,6500.0
Mickiewicza,67.7,4,330000.0,4874.0
CENTRUM,86.5,4,690000.0,7977.0
Antoniuk,36.65,2,249000.0,6794.0
Piasta,39.5,2,280000.0,7089.0
N/A,70.0,2,459900.0,6570.0
