District,Area,Rooms,Total price,Price per meter square
Górne Przedmieście,80.79,4,450000.0,5570.0
N/A,54.0,3,299855.0,5553.0
Kamienica,66.09,3,323841.0,4900.0
Kamienica,62.78,3,335873.0,5350.0
N/A,97.28,3,770000.0,7915.0
Górne Przedmieście,76.02,4,440916.0,5800.0
Górne Przedmieście,45.12,3,266208.0,5900.0
Górne Przedmieście,76.02,4,440916.0,5800.0
Górne Przedmieście,45.12,3,266208.0,5900.0
N/A,145.0,5,449000.0,3097.0
Górne Przedmieście,130.0,3,449000.0,3454.0
Górne Przedmieście,51.6,3,240000.0,4651.0
N/A,49.0,3,330000.0,6735.0
N/A,44.9,2,240000.0,5345.0
N/A,53.0,2,239000.0,4509.0
N/A,104.6,4,320100.0,3060.0
N/A,71.07,2,295200.0,4154.0
Centrum,61.48,3,328005.0,5335.0
Osiedle Słoneczne,49.0,2,280000.0,5714.0
N/A,66.88,3,289000.0,4321.0
N/A,56.0,2,275000.0,4911.0
N/A,44.0,2,239000.0,5432.0
Górne Przedmieście,69.43,3,390000.0,5617.0
Lipnik,45.25,2,307700.0,6800.0
Górne Przedmieście,65.6,4,360000.0,5488.0
Górne Przedmieście,37.12,2,230000.0,6196.0
Górne Przedmieście,47.38,2,275000.0,5804.0
Górne Przedmieście,54.21,2,305000.0,5626.0
Górne Przedmieście,50.05,2,295000.0,5894.0
Górne Przedmieście,69.57,3,390000.0,5606.0
Górne Przedmieście,54.21,2,300000.0,5534.0
Górne Przedmieście,80.79,4,450000.0,5570.0
Górne Przedmieście,80.79,4,450000.0,5570.0
N/A,54.0,3,299855.0,5553.0
Kamienica,66.09,3,323841.0,4900.0
Kamienica,62.78,3,335873.0,5350.0
N/A,97.28,3,770000.0,7915.0
Górne Przedmieście,76.02,4,440916.0,5800.0
Górne Przedmieście,45.12,3,266208.0,5900.0
Górne Przedmieście,76.02,4,440916.0,5800.0
Górne Przedmieście,45.12,3,266208.0,5900.0
N/A,145.0,5,449000.0,3097.0
Górne Przedmieście,130.0,3,449000.0,3454.0
Górne Przedmieście,51.6,3,240000.0,4651.0
N/A,49.0,3,330000.0,6735.0
N/A,44.9,2,240000.0,5345.0
N/A,53.0,2,239000.0,4509.0
N/A,104.6,4,320100.0,3060.0
N/A,71.07,2,295200.0,4154.0
Centrum,61.48,3,328005.0,5335.0
Osiedle Słoneczne,49.0,2,280000.0,5714.0
N/A,66.88,3,289000.0,4321.0
N/A,56.0,2,275000.0,4911.0
N/A,44.0,2,239000.0,5432.0
Górne Przedmieście,69.43,3,390000.0,5617.0
Lipnik,45.25,2,307700.0,6800.0
Górne Przedmieście,65.6,4,360000.0,5488.0
Górne Przedmieście,37.12,2,230000.0,6196.0
Górne Przedmieście,47.38,2,275000.0,5804.0
Górne Przedmieście,54.21,2,305000.0,5626.0
Górne Przedmieście,50.05,2,295000.0,5894.0
Górne Przedmieście,69.57,3,390000.0,5606.0
Górne Przedmieście,54.21,2,300000.0,5534.0
Górne Przedmieście,80.79,4,450000.0,5570.0
Górne Przedmieście,80.79,4,450000.0,5570.0
Górne Przedmieście,69.46,3,390000.0,5615.0
Górne Przedmieście,69.55,3,380000.0,5464.0
Górne Przedmieście,69.55,3,380000.0,5464.0
Górne Przedmieście,70.06,4,385000.0,5495.0
Kamienica,66.0,3,475000.0,7197.0
Złote Łany,39.7,2,229900.0,5791.0
Kamienica,69.3,3,395000.0,5700.0
Osiedle Beskidzkie,31.0,2,207000.0,6677.0
Złote Łany,73.4,4,359000.0,4891.0
Osiedle Wojska Polskiego,45.0,3,259000.0,5756.0
Sarni Stok,61.8,2,339900.0,5500.0
Górne Przedmieście,110.8,3,529000.0,4774.0
Cztery Pory Roku,63.0,4,389000.0,6175.0
Złote Łany,35.0,1,175000.0,5000.0
Lipnik,68.31,3,328000.0,4802.0
N/A,119.3,4,512990.0,4300.0
Kamienica,85.0,3,499000.0,5871.0
N/A,60.22,3,279000.0,4633.0
Kamienica,69.3,3,395000.0,5700.0
Osiedle Beskidzkie,45.5,2,265000.0,5824.0
Złote Łany,26.0,1,165000.0,6346.0
Kamienica,102.1,4,585000.0,5730.0
Złote Łany,64.9,3,429000.0,6610.0
Bielsko-Biała,75.66,3,287640.0,3802.0
Lipnik,74.59,3,315000.0,4223.0
Bielsko-Biała,74.59,3,283360.0,3799.0
N/A,75.7,4,370930.0,4900.0
N/A,98.0,3,305000.0,3112.0
Centrum,162.73,3,375000.0,2304.0
Aleksandrowice,53.75,3,359000.0,6679.0
Złote Łany,69.0,3,327700.0,4749.0
Złote Łany,55.5,3,310000.0,5586.0
Olszówka,77.78,4,427790.0,5500.0
N/A,78.15,2,345000.0,4415.0
Osiedle Beskidzkie,43.3,2,189500.0,4376.0
N/A,101.0,4,450000.0,4455.0
N/A,44.39,2,244145.0,5500.0
N/A,48.0,3,229000.0,4771.0
N/A,48.96,3,259000.0,5290.0
Stare Bielsko,60.86,3,280000.0,4601.0
N/A,181.0,2,299000.0,1652.0
Wojska Polskiego,30.0,1,169000.0,5633.0
N/A,57.0,3,365000.0,6404.0
N/A,47.0,2,272500.0,5798.0
N/A,54.72,3,240000.0,4386.0
Lipnik,61.46,2,295008.0,4800.0
Centrum,81.9,2,370000.0,4518.0
N/A,76.0,4,377000.0,4961.0
N/A,67.0,3,345000.0,5149.0
Sarni Stok,76.5,4,329000.0,4301.0
Osiedle Sarni Stok,53.7,3,349000.0,6499.0
Lipnik,68.31,3,328000.0,4802.0
N/A,37.0,2,190000.0,5135.0
N/A,50.5,3,295000.0,5842.0
Górne Przedmieście,56.0,2,276000.0,4929.0
Centrum,49.96,2,240000.0,4804.0
N/A,45.4,2,269000.0,5925.0
Osiedle Karpackie,72.3,4,349900.0,4840.0
Osiedle Karpackie,40.02,2,220000.0,5497.0
N/A,46.29,2,249966.0,5400.0
N/A,44.4,2,239760.0,5400.0
N/A,44.4,2,239760.0,5400.0
N/A,60.1,3,295000.0,4908.0
Osiedle Mieszka I,46.5,2,260400.0,5600.0
Górne Przedmieście,57.92,3,335936.0,5800.0
Osiedle Karpackie,32.3,1,187000.0,5789.0
Złote Łany,68.72,3,278000.0,4045.0
Centrum,38.06,2,323510.0,8500.0
Aleje Sułkowskiego,38.0,2,280000.0,7368.0
Osiedle Beskidzkie,54.2,3,296000.0,5461.0
Złote Łany,53.5,3,320000.0,5981.0
Biała Krakowska,51.0,2,255000.0,5000.0
Wapienica,54.0,3,395000.0,7315.0
Osiedle Wojska Polskiego,57.7,3,268000.0,4645.0
Osiedle Złote Łany,48.0,3,259000.0,5396.0
Górne Przedmieście,45.5,3,235000.0,5165.0
Lipnik,80.0,3,389900.0,4874.0
Złote Łany,48.0,3,249000.0,5188.0
N/A,103.6,4,445480.0,4300.0
Osiedle Piastowskie,45.0,2,270000.0,6000.0
Górne Przedmieście,24.0,1,185000.0,7708.0
N/A,57.0,2,379000.0,6649.0
Centrum,35.0,2,205000.0,5857.0
N/A,36.6,2,201300.0,5500.0
Górne Przedmieście,73.72,4,395000.0,5358.0
N/A,75.0,4,330000.0,4400.0
Górne Przedmieście,50.05,2,295000.0,5894.0
N/A,46.7,2,228830.0,4900.0
N/A,58.16,3,284984.0,4900.0
N/A,73.08,3,336168.0,4600.0
N/A,26.67,1,150685.0,5650.0
N/A,28.42,1,160573.0,5650.0
N/A,74.2,4,341320.0,4600.0
Górne Przedmieście,69.44,3,390000.0,5616.0
Lipnik,74.0,3,449000.0,6068.0
N/A,85.01,4,386795.0,4550.0
N/A,41.97,2,230835.0,5500.0
Cygański Las,85.0,4,499000.0,5871.0
Górne Przedmieście,57.92,3,335936.0,5800.0
Złote Łany,50.79,2,261569.0,5150.0
Osiedle Karpackie,50.0,2,290000.0,5800.0
Leszczyny,48.0,2,379000.0,7896.0
Kamienica,57.0,3,379000.0,6649.0
Kamienica,85.0,3,499000.0,5871.0
Kamienica,120.0,4,649000.0,5408.0
Kamienica,85.0,3,499000.0,5871.0
Górne Przedmieście,44.2,3,282000.0,6380.0
Centrum,63.16,3,315800.0,5000.0
Centrum,42.0,2,231000.0,5500.0
Centrum,46.25,2,240500.0,5200.0
Centrum,52.01,3,270400.0,5199.0
Centrum,35.54,2,202578.0,5700.0
Lipnik,53.77,3,287669.0,5350.0
N/A,53.0,3,325000.0,6132.0
Centrum,80.4,4,429000.0,5336.0
Górne Przedmieście,44.42,2,266520.0,6000.0
Górne Przedmieście,58.13,3,342967.0,5900.0
Lipnik,82.0,3,539000.0,6573.0
Górne Przedmieście,57.92,3,335936.0,5800.0
PIĘKNE MIEJSCE DO ŻYCIA,94.63,4,912450.0,9642.0
Śródmieście Bielsko,72.0,3,379000.0,5264.0
Osiedle Karpackie,90.68,4,420000.0,4632.0
Centrum,113.18,3,485000.0,4285.0
N/A,40.0,2,220000.0,5500.0
Lipnik,54.03,3,278254.0,5150.0
Centrum,45.5,2,422200.0,9279.0
Centrum,54.5,2,514600.0,9442.0
Centrum,54.5,2,498900.0,9154.0
Centrum,57.2,2,469400.0,8206.0
Centrum,42.7,2,378580.0,8866.0
Centrum,40.7,2,395810.0,9725.0
Centrum,40.7,2,395810.0,9725.0
Centrum,77.5,3,697600.0,9001.0
Centrum,90.1,4,830330.0,9216.0
Centrum,88.8,4,840090.0,9460.0
Centrum,40.7,2,395810.0,9725.0
Centrum,95.0,4,844950.0,8894.0
Centrum,72.1,3,673430.0,9340.0
Centrum,97.9,4,837780.0,8558.0
Centrum,45.3,2,420540.0,9283.0
Centrum,109.2,4,912450.0,8356.0
Centrum,96.4,4,870350.0,9029.0
Centrum,73.7,3,686060.0,9309.0
Centrum,41.0,2,398450.0,9718.0
Centrum,73.7,3,671320.0,9109.0
Centrum,73.7,3,671320.0,9109.0
Centrum,72.1,3,673430.0,9340.0
Centrum,77.5,3,697600.0,9001.0
Centrum,41.0,2,398450.0,9718.0
Centrum,54.5,2,514600.0,9442.0
Centrum,88.6,4,848030.0,9571.0
Centrum,97.7,4,836140.0,8558.0
Centrum,72.1,3,659010.0,9140.0
Centrum,72.1,3,659010.0,9140.0
Centrum,54.5,2,498250.0,9142.0
Centrum,90.1,4,785280.0,8716.0
Złote Łany,69.13,3,355401.0,5141.0
Centrum,42.0,2,218400.0,5200.0
N/A,111.0,4,450000.0,4054.0
Lipnik,62.2,3,345210.0,5550.0
Lipnik,60.97,3,338383.0,5550.0
Lipnik,62.2,3,345210.0,5550.0
Lipnik,53.77,3,276915.0,5150.0
Beskidzkie,43.7,2,225000.0,5149.0
Komorowice Śląskie,168.0,6,789600.0,4700.0
Komorowice Śląskie,168.0,6,789600.0,4700.0
Górne Przedmieście,56.1,3,330000.0,5882.0
Aleksandrowice,86.06,5,359000.0,4172.0
Centrum,69.46,3,260000.0,3743.0
DRUGI ETAP JUŻ W SPRZEDAŻY!,46.07,3,257992.0,5600.0
DRUGI ETAP JUŻ W SPRZEDAŻY!,50.08,3,270432.0,5400.0
Kamienica,65.62,3,475000.0,7239.0
N/A,61.2,3,354960.0,5800.0
N/A,61.2,3,361080.0,5900.0
N/A,61.2,3,342720.0,5600.0
N/A,49.1,2,265140.0,5400.0
N/A,50.2,2,276100.0,5500.0
N/A,49.8,2,268920.0,5400.0
N/A,61.6,3,338800.0,5500.0
N/A,49.7,2,278320.0,5600.0
N/A,50.2,2,276100.0,5500.0
N/A,61.6,3,332640.0,5400.0
N/A,49.8,2,278880.0,5600.0
N/A,48.8,3,263520.0,5400.0
Niezwykle ciekawy 2-pokojowy apartament,47.12,2,254448.0,5400.0
Niezwykle ciekawy 3-pokojowy apartament,68.54,3,370116.0,5400.0
N/A,90.0,3,430000.0,4778.0
