District,Area,Rooms,Total price,Price per meter square
Łęgnowo,32.42,2,245000.0,7557.0
Śródmieście,78.0,3,418000.0,5359.0
Szwederowo,48.0,2,265000.0,5521.0
Fordon,58.5,2,340000.0,5812.0
Osiedle Leśne,52.31,3,345000.0,6595.0
Osiedle Leśne,31.44,2,237000.0,7538.0
Osiedle Leśne,41.11,2,291500.0,7091.0
Osiedle Leśne,34.82,2,234000.0,6720.0
Osiedle Leśne,49.98,3,327000.0,6543.0
Osiedle Leśne,35.82,2,249500.0,6965.0
Osiedle Leśne,52.67,3,339000.0,6436.0
Osiedle Leśne,28.41,2,190000.0,6688.0
Wyżyny,67.0,3,379000.0,5657.0
Centrum,49.0,2,259000.0,5286.0
Fordon,58.0,3,369000.0,6362.0
Fordon,61.0,3,299000.0,4902.0
Bartodzieje,38.0,2,273600.0,7200.0
Centrum,22.0,1,165000.0,7500.0
Grochol,44.0,2,179000.0,4068.0
Kapuściska,30.0,1,215000.0,7167.0
Kapuściska,30.0,2,215000.0,7167.0
Glinki,66.0,4,397000.0,6015.0
Fordon,56.0,3,339000.0,6054.0
N/A,52.0,3,195000.0,3750.0
Śródmieście,26.0,1,195000.0,7500.0
Kapuściska,79.0,3,349000.0,4418.0
Glinki,59.0,3,335000.0,5678.0
Bartodzieje,47.0,3,319000.0,6787.0
Błonie,47.0,3,319000.0,6787.0
Bartodzieje,37.2,2,259000.0,6962.0
Szwederowo,64.0,4,324000.0,5063.0
PIASKI,125.0,4,459000.0,3672.0
Łęgnowo,32.42,2,245000.0,7557.0
Śródmieście,78.0,3,418000.0,5359.0
Szwederowo,48.0,2,265000.0,5521.0
Fordon,58.5,2,340000.0,5812.0
Osiedle Leśne,52.31,3,345000.0,6595.0
Osiedle Leśne,31.44,2,237000.0,7538.0
Osiedle Leśne,41.11,2,291500.0,7091.0
Osiedle Leśne,34.82,2,234000.0,6720.0
Osiedle Leśne,49.98,3,327000.0,6543.0
Osiedle Leśne,35.82,2,249500.0,6965.0
Osiedle Leśne,52.67,3,339000.0,6436.0
Osiedle Leśne,28.41,2,190000.0,6688.0
Wyżyny,67.0,3,379000.0,5657.0
Centrum,49.0,2,259000.0,5286.0
Fordon,58.0,3,369000.0,6362.0
Fordon,61.0,3,299000.0,4902.0
Bartodzieje,38.0,2,273600.0,7200.0
Centrum,22.0,1,165000.0,7500.0
Grochol,44.0,2,179000.0,4068.0
Kapuściska,30.0,1,215000.0,7167.0
Kapuściska,30.0,2,215000.0,7167.0
Glinki,66.0,4,397000.0,6015.0
Fordon,56.0,3,339000.0,6054.0
N/A,52.0,3,195000.0,3750.0
Śródmieście,26.0,1,195000.0,7500.0
Kapuściska,79.0,3,349000.0,4418.0
Glinki,59.0,3,335000.0,5678.0
Bartodzieje,47.0,3,319000.0,6787.0
Błonie,47.0,3,319000.0,6787.0
Bartodzieje,37.2,2,259000.0,6962.0
Szwederowo,64.0,4,324000.0,5063.0
PIASKI,125.0,4,459000.0,3672.0
Glinki,53.0,3,339000.0,6396.0
Kapuściska,36.0,2,230000.0,6389.0
Okole,98.0,3,345000.0,3520.0
Bielawy,84.66,3,559000.0,6603.0
N/A,27.0,1,149800.0,5548.0
Bartodzieje,76.0,4,519900.0,6841.0
Górzyskowo,63.0,3,377900.0,5998.0
Wyżyny,42.42,2,255000.0,6011.0
Bartodzieje,22.0,2,196000.0,8909.0
Bartodzieje,68.0,3,369000.0,5426.0
Kapuściska,38.09,2,229000.0,6012.0
Osiedle Leśne,46.0,2,275000.0,5978.0
Fordon,72.0,2,448000.0,6222.0
Wzgórze Wolności,33.0,2,192000.0,5818.0
Wyżyny,42.2,2,245000.0,5806.0
Błonie,47.0,3,289000.0,6149.0
Błonie,36.0,2,255000.0,7083.0
Bartodzieje,147.0,5,1460000.0,9932.0
Błonie,35.4,2,215000.0,6073.0
Bartodzieje,30.0,2,229000.0,7633.0
