District,Area,Rooms,Total price,Price per meter square
Stroszek,50.5,2,205000.0,4059.0
centrum,63.0,3,149000.0,2365.0
Miechowice,50.0,2,210000.0,4200.0
centrum,48.5,2,100000.0,2062.0
Szombierki,56.02,2,129000.0,2303.0
Rozbark,54.18,2,89000.0,1643.0
Miechowice,48.29,2,159000.0,3293.0
Stroszek,51.0,2,117000.0,2294.0
N/A,135.0,4,219000.0,1622.0
Śródmieście,44.0,2,117000.0,2659.0
N/A,138.22,4,275000.0,1990.0
Szombierki,58.0,3,180000.0,3103.0
Szombierki,63.0,3,175000.0,2778.0
N/A,47.7,2,150000.0,3145.0
Centrum,99.0,3,240000.0,2424.0
Centrum,68.13,3,290000.0,4257.0
N/A,35.28,1,129999.0,3685.0
Centrum,87.0,2,304000.0,3494.0
Centrum,120.0,3,279000.0,2325.0
N/A,50.0,2,153000.0,3060.0
Rozbark,46.0,2,119000.0,2587.0
N/A,126.0,4,339000.0,2690.0
Miechowice,40.04,2,154900.0,3869.0
Centrum,35.0,N/A,70000.0,2000.0
Szombierki,39.0,2,134000.0,3436.0
Centrum,149.0,4,180000.0,1208.0
Centrum,40.0,1,100000.0,2500.0
Arki Bożka,46.2,2,180000.0,3896.0
Miechowice,30.0,1,129999.0,4333.0
N/A,42.7,2,55000.0,1288.0
Śródmieście. Wyremontowany apartament,101.69,3,299000.0,2940.0
N/A,53.1,2,159000.0,2994.0
Stroszek,50.5,2,205000.0,4059.0
centrum,63.0,3,149000.0,2365.0
Miechowice,50.0,2,210000.0,4200.0
centrum,48.5,2,100000.0,2062.0
Szombierki,56.02,2,129000.0,2303.0
Rozbark,54.18,2,89000.0,1643.0
Miechowice,48.29,2,159000.0,3293.0
Stroszek,51.0,2,117000.0,2294.0
N/A,135.0,4,219000.0,1622.0
Śródmieście,44.0,2,117000.0,2659.0
N/A,138.22,4,275000.0,1990.0
Szombierki,58.0,3,180000.0,3103.0
Szombierki,63.0,3,175000.0,2778.0
N/A,47.7,2,150000.0,3145.0
Centrum,99.0,3,240000.0,2424.0
Centrum,68.13,3,290000.0,4257.0
N/A,35.28,1,129999.0,3685.0
Centrum,87.0,2,304000.0,3494.0
Centrum,120.0,3,279000.0,2325.0
N/A,50.0,2,153000.0,3060.0
Rozbark,46.0,2,119000.0,2587.0
N/A,126.0,4,339000.0,2690.0
Miechowice,40.04,2,154900.0,3869.0
Centrum,35.0,N/A,70000.0,2000.0
Szombierki,39.0,2,134000.0,3436.0
Centrum,149.0,4,180000.0,1208.0
Centrum,40.0,1,100000.0,2500.0
Arki Bożka,46.2,2,180000.0,3896.0
Miechowice,30.0,1,129999.0,4333.0
N/A,42.7,2,55000.0,1288.0
N/A,53.1,2,159000.0,2994.0
Śródmieście. Wyremontowany apartament,101.69,3,299000.0,2940.0
Centrum,68.0,3,175000.0,2574.0
Łagiewniki,35.0,2,167000.0,4771.0
Centrum,93.42,3,239000.0,2558.0
Miechowice,39.29,2,148000.0,3767.0
