District,Area,Rooms,Total price,Price per meter square
Chorzów Batory,48.67,2,229000.0,4705.0
Stary Chorzów,41.47,2,193805.0,4673.0
Stary Chorzów,66.87,4,302506.0,4524.0
Chorzów Batory,46.0,2,249183.0,5417.0
Chorzów II,57.78,3,273000.0,4725.0
Chorzów II,67.13,4,316000.0,4707.0
Chorzów II,53.89,3,265000.0,4917.0
Chorzów II,72.2,4,369000.0,5111.0
Chorzów II,60.7,3,303000.0,4992.0
Chorzów II,79.85,4,391000.0,4897.0
Chorzów II,64.19,3,325000.0,5063.0
Chorzów II,48.99,2,234000.0,4776.0
Chorzów II,84.69,4,419000.0,4947.0
Chorzów Batory,46.19,2,233276.0,5050.0
Stary Chorzów,59.17,3,270205.0,4567.0
Chorzów Batory,43.37,2,235251.0,5424.0
Chorzów Batory,42.5,4,185000.0,4353.0
Klimzowiec,52.0,2,279000.0,5365.0
Chorzów Batory,40.0,2,146000.0,3650.0
N/A,47.54,3,210000.0,4417.0
Batory,30.0,1,128900.0,4297.0
"Batory, ustawne i jasne!",44.42,1,180000.0,4052.0
N/A,46.5,2,197000.0,4237.0
Chorzów Batory,30.1,1,125000.0,4153.0
Chorzów Batory,60.72,3,285000.0,4694.0
Chorzów Batory,46.1,2,172000.0,3731.0
N/A,29.0,1,105000.0,3621.0
Chorzów II,34.98,1,163000.0,4660.0
Chorzów Batory,86.0,4,344000.0,4000.0
Centrum,73.0,3,375000.0,5137.0
Klimzowiec,50.0,2,269000.0,5380.0
Stary Chorzów,38.0,2,189000.0,4974.0
Chorzów Batory,48.67,2,229000.0,4705.0
Stary Chorzów,41.47,2,193805.0,4673.0
Stary Chorzów,66.87,4,302506.0,4524.0
Chorzów Batory,46.0,2,249183.0,5417.0
Chorzów II,57.78,3,273000.0,4725.0
Chorzów II,67.13,4,316000.0,4707.0
Chorzów II,53.89,3,265000.0,4917.0
Chorzów II,72.2,4,369000.0,5111.0
Chorzów II,60.7,3,303000.0,4992.0
Chorzów II,79.85,4,391000.0,4897.0
Chorzów II,64.19,3,325000.0,5063.0
Chorzów II,48.99,2,234000.0,4776.0
Chorzów II,84.69,4,419000.0,4947.0
Chorzów Batory,46.19,2,233276.0,5050.0
Stary Chorzów,59.17,3,270205.0,4567.0
Chorzów Batory,43.37,2,235251.0,5424.0
Chorzów Batory,42.5,4,185000.0,4353.0
Klimzowiec,52.0,2,279000.0,5365.0
Chorzów Batory,40.0,2,146000.0,3650.0
N/A,47.54,3,210000.0,4417.0
Batory,30.0,1,128900.0,4297.0
"Batory, ustawne i jasne!",44.42,1,180000.0,4052.0
N/A,46.5,2,197000.0,4237.0
Chorzów Batory,30.1,1,125000.0,4153.0
Chorzów Batory,60.72,3,285000.0,4694.0
Chorzów Batory,46.1,2,172000.0,3731.0
N/A,29.0,1,105000.0,3621.0
Chorzów II,34.98,1,163000.0,4660.0
Chorzów Batory,86.0,4,344000.0,4000.0
Centrum,73.0,3,375000.0,5137.0
Klimzowiec,50.0,2,269000.0,5380.0
Stary Chorzów,38.0,2,189000.0,4974.0
N/A,56.72,3,395000.0,6964.0
N/A,57.02,3,325000.0,5700.0
N/A,57.02,3,325000.0,5700.0
Pnioki,62.7,2,210000.0,3349.0
N/A,56.72,3,395000.0,6964.0
Chorzów II,37.0,2,109000.0,2946.0
N/A,87.67,3,515000.0,5874.0
Klimzowiec,48.0,2,269000.0,5604.0
Chorzów Batory,45.0,2,138999.0,3089.0
Os. Irys,60.5,3,249000.0,4116.0
Chorzów II,43.1,2,129900.0,3014.0
N/A,34.0,2,160000.0,4706.0
Amelung,45.0,2,195000.0,4333.0
Centrum,138.64,4,499000.0,3599.0
Chorzów II,52.0,N/A,395000.0,7596.0
Chorzów Batory,48.67,2,249000.0,5116.0
Chorzów Batory,72.5,4,335000.0,4621.0
Niedźwiedziniec,57.61,3,395000.0,6856.0
BATORY,45.0,2,138500.0,3078.0
Klimzowiec,131.7,3,321000.0,2437.0
Maciejkowice,39.65,2,158600.0,4000.0
Klimzowiec,48.0,3,285000.0,5938.0
Maciejkowice,42.68,2,170720.0,4000.0
Centrum,66.05,3,319000.0,4830.0
Klimzowiec,48.0,3,279000.0,5813.0
N/A,38.5,2,169000.0,4390.0
N/A,39.74,2,169000.0,4253.0
Centrum,50.0,2,250000.0,5000.0
Chorzów Batory,32.0,1,139000.0,4344.0
N/A,67.1,3,395890.0,5900.0
Chorzów II,43.0,2,129000.0,3000.0
Klimzowiec,41.0,2,199000.0,4854.0
N/A,33.4,1,220440.0,6600.0
N/A,89.1,4,525690.0,5900.0
N/A,34.5,1,227700.0,6600.0
Batory,45.0,2,139000.0,3089.0
N/A,66.68,3,N/A,N/A
N/A,80.33,4,N/A,N/A
Batory,59.0,4,285000.0,4831.0
N/A,44.4,2,284160.0,6400.0
Centrum,56.0,2,230000.0,4107.0
Batory,48.0,2,179000.0,3729.0
Chorzów II,55.9,2,210000.0,3757.0
BATORY,49.2,3,295000.0,5996.0
Batory,49.2,3,329000.0,6687.0
Centrum,42.1,2,89000.0,2114.0
Centrum,47.8,2,99000.0,2071.0
Osiedle Irys w Chorzowie,47.0,2,189000.0,4021.0
N/A,44.4,2,284160.0,6400.0
Amelung,71.2,3,470000.0,6601.0
N/A,33.4,1,220440.0,6600.0
N/A,59.93,3,279000.0,4655.0
N/A,47.75,3,195000.0,4084.0
N/A,52.0,2,250000.0,4808.0
Chorzów II,44.0,2,168000.0,3818.0
Maciejkowice,50.07,2,115000.0,2297.0
N/A,36.87,1,N/A,N/A
Centrum,58.0,3,240000.0,4138.0
BATORY,45.0,1,139000.0,3089.0
Klimzowiec,38.0,2,180000.0,4737.0
Centrum,45.0,2,199000.0,4422.0
Centrum,50.0,2,270000.0,5400.0
Stary Chorzów,95.5,4,625000.0,6545.0
N/A,66.29,3,N/A,N/A
Chorzów II,40.62,2,159000.0,3914.0
N/A,82.88,3,N/A,N/A
Śródmieście,50.92,2,199000.0,3908.0
N/A,66.68,3,N/A,N/A
Śródmieście,52.25,2,199000.0,3809.0
N/A,59.34,3,N/A,N/A
N/A,86.91,4,N/A,N/A
Chorzów II,48.0,3,195000.0,4063.0
N/A,60.72,3,257000.0,4233.0
Batory,31.6,1,60000.0,1899.0
Batory,30.7,1,61000.0,1987.0
Chorzów Batory,50.0,3,184900.0,3698.0
Centrum,36.0,1,169000.0,4694.0
Pniaki,64.4,3,355000.0,5512.0
Chorzów Batory,45.0,3,225000.0,5000.0
N/A,93.66,4,405000.0,4324.0
Centrum,60.0,3,245000.0,4083.0
Chorzów II,43.0,2,129000.0,3000.0
N/A,43.0,2,129000.0,3000.0
Chorzów II,43.0,2,129900.0,3021.0
N/A,71.45,3,336000.0,4703.0
N/A,54.0,2,189000.0,3500.0
Chorzów II,72.94,3,343000.0,4703.0
Centrum (obok Parku Śląskiego),30.84,1,7.0,0.0
N/A,72.0,3,410000.0,5694.0
Centrum,66.4,3,134900.0,2032.0
Centrum,159.0,8,320000.0,2013.0
N/A,67.06,3,315000.0,4697.0
Chorzów II,64.19,3,325000.0,5063.0
Chorzów II,50.66,3,255000.0,5034.0
Chorzów II,67.13,4,316000.0,4707.0
Os. Różanka,44.9,2,193000.0,4298.0
N/A,90.69,3,399000.0,4400.0
N/A,89.79,4,399000.0,4444.0
Maciejkowice,51.0,2,159000.0,3118.0
Centrum,124.58,4,268000.0,2151.0
Centrum,64.6,3,257700.0,3989.0
Klimzowiec,103.75,4,352500.0,3398.0
Planty Śląskie,77.15,3,450000.0,5833.0
Śródmieście,75.66,3,306221.0,4047.0
