District,Area,Rooms,Total price,Price per meter square
N/A,90.0,4,199000.0,2211.0
Osowa,52.04,3,375000.0,7206.0
Przymorze,52.4,3,469000.0,8950.0
Ujeścisko,48.0,1,390000.0,8125.0
Ujeścisko,90.0,3,650000.0,7222.0
N/A,38.0,2,380000.0,10000.0
Piecki,40.0,2,440000.0,11000.0
Wrzeszcz,59.44,3,576500.0,9699.0
Wrzeszcz,79.49,3,802849.0,10100.0
Wrzeszcz,30.1,1,360000.0,11960.0
Śródmieście,48.8,1,512300.0,10498.0
Letnica,30.24,1,302500.0,10003.0
Jasień,57.34,3,392779.0,6850.0
Jasień,52.22,3,375984.0,7200.0
Jasień,51.79,3,352172.0,6800.0
Śródmieście,46.78,3,491200.0,10500.0
Śródmieście,48.93,2,543100.0,11100.0
Chełm,59.96,3,N/A,N/A
Jasień,58.62,3,419133.0,7150.0
Chełm,68.48,4,387082.0,5652.0
Jasień,40.23,2,313794.0,7800.0
Jasień,69.5,4,462175.0,6650.0
Jasień,42.85,2,344942.0,8050.0
Jasień,71.29,4,481207.0,6750.0
Łostowice,40.98,2,259000.0,6320.0
Łostowice,39.29,2,249000.0,6337.0
Jasień,28.35,1,233877.0,8250.0
Letnica,56.83,3,466000.0,8200.0
Letnica,40.07,2,386500.0,9646.0
Osowa,58.37,3,435000.0,7452.0
Wrzeszcz,29.05,2,400890.0,13800.0
Wrzeszcz,72.65,4,835475.0,11500.0
N/A,90.0,4,199000.0,2211.0
Osowa,52.04,3,375000.0,7206.0
Przymorze,52.4,3,469000.0,8950.0
Ujeścisko,48.0,1,390000.0,8125.0
Ujeścisko,90.0,3,650000.0,7222.0
N/A,38.0,2,380000.0,10000.0
Piecki,40.0,2,440000.0,11000.0
Wrzeszcz,59.44,3,576500.0,9699.0
Wrzeszcz,79.49,3,802849.0,10100.0
Wrzeszcz,30.1,1,360000.0,11960.0
Śródmieście,48.8,1,512300.0,10498.0
Letnica,30.24,1,302500.0,10003.0
Jasień,57.34,3,392779.0,6850.0
Jasień,52.22,3,375984.0,7200.0
Jasień,51.79,3,352172.0,6800.0
