District,Area,Rooms,Total price,Price per meter square
Ostropa,46.27,2,277620.0,6000.0
Ostropa,61.93,3,427317.0,6900.0
Ostropa,46.17,2,267786.0,5800.0
Śródmieście,31.07,1,195741.0,6300.0
Śródmieście,68.74,2,408300.0,5940.0
Ostropa,77.0,3,438900.0,5700.0
Śródmieście,68.58,2,407700.0,5945.0
Ostropa,45.61,2,264538.0,5800.0
Ostropa,61.93,3,408738.0,6600.0
Ostropa,45.71,2,274260.0,6000.0
Łabędy,46.9,3,253000.0,5394.0
Ostropa,62.08,3,378688.0,6100.0
Ostropa,77.0,3,454300.0,5900.0
Śródmieście,44.07,2,262217.0,5950.0
Łabędy,63.0,3,279000.0,4429.0
N/A,68.0,3,290000.0,4265.0
Łabędy,42.74,2,222500.0,5206.0
Ostropa,45.61,2,314709.0,6900.0
Śródmieście,88.26,4,573735.0,6501.0
Ostropa,77.0,3,438900.0,5700.0
N/A,72.24,4,361127.0,4999.0
Łabędy,76.41,4,429000.0,5614.0
Łabędy,57.94,4,319000.0,5506.0
Łabędy,57.96,4,321000.0,5538.0
Łabędy,59.52,3,314000.0,5276.0
Łabędy,99.01,5,529300.0,5346.0
Łabędy,65.35,3,321200.0,4915.0
Zatorze,65.7,2,240000.0,3653.0
Łabędy,59.75,3,317000.0,5305.0
Śródmieście,81.12,4,462384.0,5700.0
Łabędy,58.0,3,319000.0,5500.0
Łabędy,59.75,3,317000.0,5305.0
Ostropa,46.27,2,277620.0,6000.0
Ostropa,61.93,3,427317.0,6900.0
Ostropa,46.17,2,267786.0,5800.0
Śródmieście,31.07,1,195741.0,6300.0
Śródmieście,68.74,2,408300.0,5940.0
Ostropa,77.0,3,438900.0,5700.0
Śródmieście,68.58,2,407700.0,5945.0
Ostropa,45.61,2,264538.0,5800.0
Ostropa,61.93,3,408738.0,6600.0
Ostropa,45.71,2,274260.0,6000.0
Łabędy,46.9,3,253000.0,5394.0
Ostropa,62.08,3,378688.0,6100.0
Ostropa,77.0,3,454300.0,5900.0
Śródmieście,44.07,2,262217.0,5950.0
Łabędy,63.0,3,279000.0,4429.0
N/A,68.0,3,290000.0,4265.0
Łabędy,42.74,2,222500.0,5206.0
Ostropa,45.61,2,314709.0,6900.0
Śródmieście,88.26,4,573735.0,6501.0
Ostropa,77.0,3,438900.0,5700.0
N/A,72.24,4,361127.0,4999.0
Łabędy,76.41,4,429000.0,5614.0
Łabędy,57.94,4,319000.0,5506.0
Łabędy,57.96,4,321000.0,5538.0
Łabędy,59.52,3,314000.0,5276.0
Łabędy,99.01,5,529300.0,5346.0
Łabędy,65.35,3,321200.0,4915.0
Zatorze,65.7,2,240000.0,3653.0
Łabędy,59.75,3,317000.0,5305.0
Śródmieście,81.12,4,462384.0,5700.0
Łabędy,58.0,3,319000.0,5500.0
Łabędy,59.75,3,317000.0,5305.0
Łabędy,46.9,3,253000.0,5394.0
Łabędy,53.06,2,276000.0,5202.0
N/A,53.14,2,268307.0,5049.0
N/A,72.08,4,403434.0,5597.0
Centrum,62.28,3,359509.0,5772.0
N/A,56.3,3,330620.0,5872.0
N/A,41.47,2,254853.0,6145.0
N/A,63.0,3,290000.0,4603.0
Śródmieście,70.5,4,594000.0,8426.0
N/A,60.35,3,248940.0,4125.0
N/A,64.57,3,275000.0,4259.0
Sośnica,41.1,2,180000.0,4380.0
Centrum,31.19,2,149000.0,4777.0
Stare Gliwice,56.41,2,399000.0,7073.0
Wojska Polskiego,39.7,3,312438.0,7870.0
Wojska Polskiego,39.7,2,260035.0,6550.0
Wojska Polskiego,77.0,4,385000.0,5000.0
