District,Area,Rooms,Total price,Price per meter square
"Góra, Zabobrze",82.0,4,380000.0,4634.0
"Góra, Czarne",113.0,4,429000.0,3796.0
"Góra, Czarne",113.0,4,419000.0,3708.0
"Góra, Centrum",30.1,1,178000.0,5914.0
"Góra, Mała Poczta",83.4,3,260000.0,3118.0
"Góra, Centrum",44.0,2,227000.0,5159.0
Góra,53.88,2,296340.0,5500.0
Góra,74.4,3,295000.0,3965.0
Góra,131.5,4,515000.0,3916.0
"Góra, Zabobrze",50.0,2,249500.0,4990.0
"Góra, Centrum",115.8,3,343000.0,2962.0
"Góra, Centrum",122.0,4,520000.0,4262.0
"Góra, Centrum",97.84,4,265000.0,2709.0
"Góra, Cieplice",33.36,1,165000.0,4946.0
"Góra, Zabobrze",43.0,2,199000.0,4628.0
Góra,32.4,N/A,42000.0,1296.0
Góra,63.6,N/A,65000.0,1022.0
Góra,36.4,N/A,105000.0,2885.0
Góra,75.01,4,370000.0,4933.0
Góra,69.0,3,325000.0,4710.0
Góra,118.0,7,380000.0,3220.0
"Góra, Zabobrze",66.15,3,359000.0,5427.0
"Góra, Zabobrze",39.0,2,175000.0,4487.0
"Góra, Centrum",57.7,3,410000.0,7106.0
Góra,89.2,2,295000.0,3307.0
"Góra, Centrum",32.0,1,220000.0,6875.0
"Góra, Centrum",52.5,2,160000.0,3048.0
Góra,45.79,1,225000.0,4914.0
"Góra, Centrum",61.0,2,270000.0,4426.0
"Góra, Zabobrze",48.0,2,235990.0,4916.0
"Góra, Centrum",46.64,2,165000.0,3538.0
Góra,47.0,2,75000.0,1596.0
"Góra, Zabobrze",82.0,4,380000.0,4634.0
"Góra, Czarne",113.0,4,429000.0,3796.0
"Góra, Czarne",113.0,4,419000.0,3708.0
"Góra, Centrum",30.1,1,178000.0,5914.0
"Góra, Mała Poczta",83.4,3,260000.0,3118.0
"Góra, Centrum",44.0,2,227000.0,5159.0
Góra,53.88,2,296340.0,5500.0
Góra,74.4,3,295000.0,3965.0
Góra,131.5,4,515000.0,3916.0
"Góra, Zabobrze",50.0,2,249500.0,4990.0
"Góra, Centrum",115.8,3,343000.0,2962.0
"Góra, Centrum",122.0,4,520000.0,4262.0
"Góra, Centrum",97.84,4,265000.0,2709.0
"Góra, Cieplice",33.36,1,165000.0,4946.0
"Góra, Zabobrze",43.0,2,199000.0,4628.0
Góra,32.4,N/A,42000.0,1296.0
Góra,63.6,N/A,65000.0,1022.0
Góra,36.4,N/A,105000.0,2885.0
Góra,75.01,4,370000.0,4933.0
Góra,69.0,3,325000.0,4710.0
Góra,118.0,7,380000.0,3220.0
"Góra, Zabobrze",66.15,3,359000.0,5427.0
"Góra, Zabobrze",39.0,2,175000.0,4487.0
"Góra, Centrum",57.7,3,410000.0,7106.0
Góra,89.2,2,295000.0,3307.0
"Góra, Centrum",32.0,1,220000.0,6875.0
"Góra, Centrum",52.5,2,160000.0,3048.0
Góra,45.79,1,225000.0,4914.0
"Góra, Centrum",61.0,2,270000.0,4426.0
"Góra, Zabobrze",48.0,2,235990.0,4916.0
"Góra, Centrum",46.64,2,165000.0,3538.0
Góra,47.0,2,75000.0,1596.0
"Góra, Centrum",78.15,2,365000.0,4671.0
"Góra, Zabobrze",62.4,3,297000.0,4760.0
"Góra, Centrum",18.0,1,107000.0,5944.0
"Góra, Cieplice",83.0,4,530000.0,6386.0
"Góra, Centrum",44.64,2,120000.0,2688.0
Góra,61.9,3,299000.0,4830.0
"Góra, Sobieszów",96.76,4,279990.0,2894.0
"Góra, Zabobrze",53.0,3,285000.0,5377.0
"Góra, Cieplice",70.4,3,199900.0,2839.0
"Góra, Centrum",100.0,3,220000.0,2200.0
Góra,57.9,2,200000.0,3454.0
Góra,23.89,1,152000.0,6362.0
"Góra, Centrum",95.59,3,365000.0,3818.0
"Góra, Centrum",69.13,3,245990.0,3558.0
"Góra, Centrum",97.29,4,300000.0,3084.0
"Góra, Czarne",76.71,3,340000.0,4432.0
"Góra, Centrum",74.68,2,549000.0,7351.0
"Góra, Zabobrze",49.08,2,237000.0,4829.0
Góra,58.26,2,312000.0,5355.0
"Góra, Sobieszów",73.35,3,249990.0,3408.0
"Góra, Centrum",61.1,3,339000.0,5548.0
"Góra, Centrum",90.0,3,275000.0,3056.0
