District,Area,Rooms,Total price,Price per meter square
Pychowice,39.63,2,395000.0,9967.0
Bronowice Małe,37.0,1,444000.0,12000.0
Krowodrza,146.69,4,2201343.0,15007.0
Kliny,29.04,1,209088.0,7200.0
Czyżyny,64.85,3,632288.0,9750.0
Kliny,56.12,3,376004.0,6700.0
Czyżyny,83.1,4,N/A,N/A
Krowodrza,48.32,2,420384.0,8700.0
Prokocim,51.78,3,398706.0,7700.0
Sidzina,91.0,5,482300.0,5300.0
Czyżyny,48.76,2,465658.0,9550.0
N/A,57.0,3,364800.0,6400.0
Czyżyny,51.36,2,531576.0,10350.0
Bieżanów,52.0,3,322000.0,6192.0
N/A,58.0,3,342000.0,5897.0
Promocja !!!,63.0,3,359000.0,5698.0
Opatkowice,58.0,3,377000.0,6500.0
Tonie,76.0,3,370000.0,4868.0
N/A,41.13,2,452430.0,11000.0
N/A,35.52,1,100000.0,2815.0
Nowa Huta,47.0,3,320000.0,6809.0
Nowa Huta,22.0,1,220000.0,10000.0
Nowa Huta,27.8,1,289000.0,10396.0
Krowodrza,70.8,4,684000.0,9661.0
Stare Miasto,29.0,1,340000.0,11724.0
Prądnik Czerwony,43.0,2,370000.0,8605.0
Dąbie,20.0,1,180000.0,9000.0
Swoszowice,50.0,2,125000.0,2500.0
Krowodrza,78.0,3,700000.0,8974.0
N/A,38.0,2,380000.0,10000.0
N/A,29.0,1,464000.0,16000.0
Kurdwanów,41.8,2,330300.0,7902.0
Pychowice,39.63,2,395000.0,9967.0
Bronowice Małe,37.0,1,444000.0,12000.0
Krowodrza,146.69,4,2201343.0,15007.0
Kliny,29.04,1,209088.0,7200.0
Czyżyny,64.85,3,632288.0,9750.0
Kliny,56.12,3,376004.0,6700.0
Czyżyny,83.1,4,N/A,N/A
Krowodrza,48.32,2,420384.0,8700.0
Prokocim,51.78,3,398706.0,7700.0
Sidzina,91.0,5,482300.0,5300.0
Czyżyny,48.76,2,465658.0,9550.0
N/A,57.0,3,364800.0,6400.0
Czyżyny,51.36,2,531576.0,10350.0
Bieżanów,52.0,3,322000.0,6192.0
N/A,58.0,3,342000.0,5897.0
Promocja !!!,63.0,3,359000.0,5698.0
Opatkowice,58.0,3,377000.0,6500.0
Tonie,76.0,3,370000.0,4868.0
N/A,41.13,2,452430.0,11000.0
N/A,35.52,1,100000.0,2815.0
Nowa Huta,47.0,3,320000.0,6809.0
Nowa Huta,22.0,1,220000.0,10000.0
Nowa Huta,27.8,1,289000.0,10396.0
Krowodrza,70.8,4,684000.0,9661.0
Stare Miasto,29.0,1,340000.0,11724.0
Prądnik Czerwony,43.0,2,370000.0,8605.0
Dąbie,20.0,1,180000.0,9000.0
Swoszowice,50.0,2,125000.0,2500.0
Krowodrza,78.0,3,700000.0,8974.0
N/A,38.0,2,380000.0,10000.0
N/A,29.0,1,464000.0,16000.0
Kurdwanów,41.8,2,330300.0,7902.0
Stare Miasto,49.09,2,638000.0,12997.0
Mistrzejowice,66.0,3,541000.0,8197.0
Stara Krowodrza,52.0,3,764901.0,14710.0
Grzegórzki,75.0,3,1125000.0,15000.0
Stare Miasto,35.1,2,495750.0,14124.0
Podgórze,33.0,1,399000.0,12091.0
Śródmieście,88.12,4,1234000.0,14004.0
Kurdwanów,88.0,4,699000.0,7943.0
Prądnik Czerwony,64.3,5,679120.0,10562.0
Stare Miasto,67.1,2,1290000.0,19225.0
Grzegórzki,50.86,3,578240.0,11369.0
Nowa Huta,50.54,2,450000.0,8904.0
Podgórze,43.47,2,439000.0,10099.0
Krowodrza,44.93,2,413356.0,9200.0
Prokocim,35.25,2,296100.0,8400.0
Kosocice,41.0,2,258000.0,6293.0
Prądnik Czerwony,46.5,2,406875.0,8750.0
