District,Area,Rooms,Total price,Price per meter square
N/A,60.43,3,N/A,N/A
N/A,48.63,2,N/A,N/A
N/A,47.56,2,N/A,N/A
N/A,61.56,3,N/A,N/A
N/A,69.06,3,476000.0,6893.0
Radogoszcz,56.99,3,373228.0,6549.0
Bałuty,55.43,2,332525.0,5999.0
Radogoszcz,57.22,3,363290.0,6349.0
Bałuty,54.96,2,329705.0,5999.0
Radogoszcz,57.11,3,368302.0,6449.0
Bałuty,100.03,4,560068.0,5599.0
Bałuty,50.21,2,291168.0,5799.0
Radogoszcz,57.33,3,332457.0,5799.0
Bałuty,55.88,2,307284.0,5499.0
Radogoszcz,79.5,4,453071.0,5699.0
Bałuty,39.6,2,285080.0,7199.0
Radogoszcz,56.76,3,329151.0,5799.0
Bałuty,68.24,3,399136.0,5849.0
Bałuty,54.96,2,329705.0,5999.0
Bałuty,55.43,2,326982.0,5899.0
Bałuty,66.86,3,424494.0,6349.0
Bałuty,92.36,4,627956.0,6799.0
Bałuty,55.43,2,326982.0,5899.0
Bałuty,50.43,2,325223.0,6449.0
Bałuty,90.53,4,565722.0,6249.0
Bałuty,67.26,3,356411.0,5299.0
Bałuty,55.29,2,304040.0,5499.0
Bałuty,47.23,2,276248.0,5849.0
Bałuty,54.34,2,293382.0,5399.0
Bałuty,100.03,4,540062.0,5399.0
Bałuty,55.02,2,324563.0,5899.0
Bałuty,44.22,2,305074.0,6899.0
N/A,60.43,3,N/A,N/A
N/A,48.63,2,N/A,N/A
N/A,47.56,2,N/A,N/A
N/A,61.56,3,N/A,N/A
N/A,69.06,3,476000.0,6893.0
Radogoszcz,56.99,3,373228.0,6549.0
Bałuty,55.43,2,332525.0,5999.0
Radogoszcz,57.22,3,363290.0,6349.0
Bałuty,54.96,2,329705.0,5999.0
Radogoszcz,57.11,3,368302.0,6449.0
Bałuty,100.03,4,560068.0,5599.0
Bałuty,50.21,2,291168.0,5799.0
Radogoszcz,57.33,3,332457.0,5799.0
Bałuty,55.88,2,307284.0,5499.0
Radogoszcz,79.5,4,453071.0,5699.0
Bałuty,39.6,2,285080.0,7199.0
Radogoszcz,56.76,3,329151.0,5799.0
Bałuty,68.24,3,399136.0,5849.0
Bałuty,54.96,2,329705.0,5999.0
Bałuty,55.43,2,326982.0,5899.0
Bałuty,66.86,3,424494.0,6349.0
Bałuty,92.36,4,627956.0,6799.0
Bałuty,55.43,2,326982.0,5899.0
Bałuty,50.43,2,325223.0,6449.0
Bałuty,90.53,4,565722.0,6249.0
Bałuty,67.26,3,356411.0,5299.0
Bałuty,55.29,2,304040.0,5499.0
Bałuty,47.23,2,276248.0,5849.0
Bałuty,54.34,2,293382.0,5399.0
Bałuty,100.03,4,540062.0,5399.0
Bałuty,55.02,2,324563.0,5899.0
Bałuty,44.22,2,305074.0,6899.0
Bałuty,100.1,4,520420.0,5199.0
Bałuty,53.26,2,314181.0,5899.0
WIDZEW,47.73,3,380000.0,7961.0
Bałuty,39.96,2,343616.0,8599.0
Bałuty,95.95,4,599592.0,6249.0
Śródmieście,69.65,3,438725.0,6299.0
Śródmieście,69.65,3,421313.0,6049.0
Śródmieście,93.96,4,554270.0,5899.0
Śródmieście,72.98,2,430509.0,5899.0
Śródmieście,69.9,3,405350.0,5799.0
Bałuty,50.59,2,321196.0,6349.0
Bałuty,67.74,3,402985.0,5949.0
Bałuty,96.83,4,663189.0,6849.0
Bałuty,221.56,5,2011412.0,9078.0
Bałuty,69.56,3,424246.0,6099.0
Bałuty,48.08,3,324492.0,6749.0
N/A,35.0,N/A,N/A,N/A
Widzew,60.0,3,359900.0,5998.0
Bałuty,49.0,3,310000.0,6327.0
Polesie,50.0,2,370000.0,7400.0
N/A,103.75,4,576330.0,5555.0
Ruda Pabianicka,36.16,2,216000.0,5973.0
N/A,99.0,3,334000.0,3374.0
Koziny,57.0,3,312000.0,5474.0
Bałuty,50.0,2,275000.0,5500.0
Dąbrowa,34.0,1,187000.0,5500.0
Koziny,38.0,N/A,245900.0,6471.0
Polesie,37.2,2,205000.0,5511.0
Zarzew,37.0,2,257000.0,6946.0
Górna,41.0,2,365000.0,8902.0
Górna,26.0,1,160000.0,6154.0
Widzew,57.29,3,365000.0,6371.0
Nowe Złotno,72.0,3,559000.0,7764.0
Polesie,106.0,4,635000.0,5991.0
N/A,48.0,2,299000.0,6229.0
Górna,47.89,3,299000.0,6243.0
Widzew,50.2,2,335000.0,6673.0
Bałuty,71.0,3,447000.0,6296.0
Górna,50.0,2,260000.0,5200.0
Olechów,48.56,2,285000.0,5869.0
Śródmieście,64.06,3,485000.0,7571.0
N/A,27.0,1,175000.0,6481.0
Śródmieście,95.0,4,379000.0,3989.0
Bałuty,47.0,2,266000.0,5660.0
Bałuty,47.5,2,379900.0,7998.0
Śródmieście,42.4,3,235000.0,5542.0
N/A,67.77,3,360000.0,5312.0
Julianów,67.0,2,589000.0,8791.0
Bałuty,48.39,2,328000.0,6778.0
Śródmieście,60.0,2,359000.0,5983.0
Polesie,55.0,2,320000.0,5818.0
Stoki,44.0,2,259900.0,5907.0
Widzew,92.0,4,469000.0,5098.0
Widzew,93.0,4,474000.0,5097.0
Chojny,42.0,2,320000.0,7619.0
Śródmieście,100.0,3,637000.0,6370.0
Górna,54.0,2,229000.0,4241.0
Górna,34.0,2,179000.0,5265.0
Śródmieście,152.0,3,629000.0,4138.0
Teofilów,57.0,3,299000.0,5246.0
Chojny,60.0,2,480000.0,8000.0
Polesie,80.0,3,430000.0,5375.0
Widzew,100.21,4,509000.0,5079.0
Widzew,68.46,2,620000.0,9056.0
Górna,54.66,3,259000.0,4738.0
Dąbrowa,40.5,2,208000.0,5136.0
Bałuty,42.02,2,225000.0,5355.0
Górna,27.61,1,140000.0,5071.0
Kurczaki,63.32,2,365000.0,5764.0
Górna,40.6,2,223000.0,5493.0
Bałuty,117.49,4,568000.0,4834.0
Górna,37.05,2,219000.0,5911.0
Bałuty,36.0,1,199000.0,5528.0
Widzew,56.0,2,249000.0,4446.0
Teofilów,37.7,2,173000.0,4589.0
Retkinia,61.0,3,333000.0,5459.0
Retkinia,53.0,3,259000.0,4887.0
Widzew,65.0,3,289000.0,4446.0
Doły,56.83,2,295000.0,5191.0
Śródmieście,60.0,2,315000.0,5250.0
Kurczaki,49.5,2,238000.0,4808.0
Śródmieście,108.45,3,390000.0,3596.0
Śródmieście,132.81,3,859000.0,6468.0
Doły,54.06,2,216000.0,3996.0
Śródmieście,88.32,3,320000.0,3623.0
Widzew,34.0,1,155000.0,4559.0
N/A,21.04,1,140000.0,6654.0
N/A,17.47,1,119000.0,6812.0
Chojny,80.23,4,449288.0,5600.0
Widzew,32.3,N/A,70000.0,2167.0
Chojny,103.26,4,567930.0,5500.0
Retkinia,97.33,4,759174.0,7800.0
Chojny,68.28,3,375540.0,5500.0
Chojny,70.19,3,393064.0,5600.0
Chojny,75.66,4,416130.0,5500.0
Polesie,48.24,2,155000.0,3213.0
Zdrowie,109.0,4,830000.0,7615.0
Śródmieście,42.66,2,165000.0,3868.0
Chojny,87.3,4,488880.0,5600.0
Śródmieście,147.0,4,588000.0,4000.0
Olechów,110.0,3,660000.0,6000.0
Śródmieście,25.0,1,1.0,0.0
Koziny,51.0,2,305000.0,5980.0
Górna,48.0,3,259000.0,5396.0
Śródmieście,38.41,2,265900.0,6923.0
Widzew,35.24,2,256900.0,7290.0
Widzew,37.0,2,269000.0,7270.0
Dąbrowa,40.05,2,244000.0,6092.0
Polesie,48.23,3,332739.0,6899.0
Widzew,50.74,3,334900.0,6600.0
Śródmieście,50.18,3,339000.0,6756.0
Polesie,51.0,3,316149.0,6199.0
Śródmieście,52.21,3,331597.0,6351.0
Widzew,35.63,2,259000.0,7269.0
Karolew,43.0,2,242000.0,5628.0
Śródmieście,81.0,3,395000.0,4877.0
Polesie,34.92,2,226945.0,6499.0
Śródmieście,34.89,2,1.0,0.0
Śródmieście,32.0,1,1.0,0.0
Widzew,55.83,4,368500.0,6600.0
Górna,51.57,2,275000.0,5333.0
Radogoszcz,69.0,3,600000.0,8696.0
Bałuty,23.0,1,27000.0,1174.0
Olechów,73.0,3,490000.0,6712.0
Retkinia,53.0,3,330000.0,6226.0
Śródmieście,58.01,4,279000.0,4810.0
Zarzew,61.0,3,430000.0,7049.0
Bałuty,28.91,1,179000.0,6192.0
Śródmieście,104.88,6,492000.0,4691.0
Bałuty,74.0,3,410000.0,5541.0
Widzew,57.09,3,330000.0,5780.0
Górna,35.36,1,177000.0,5006.0
Retkinia,32.0,1,183000.0,5719.0
Widzew,41.83,2,309542.0,7400.0
Widzew,52.8,3,359040.0,6800.0
Karolew,55.0,3,300000.0,5455.0
Śródmieście,87.94,4,499000.0,5674.0
Bałuty,155.5,5,1350000.0,8682.0
N/A,144.46,3,549900.0,3807.0
Bałuty,53.0,3,295000.0,5566.0
Widzew,55.83,4,385227.0,6900.0
Górna,42.98,2,245000.0,5700.0
Bałuty,40.0,2,298000.0,7450.0
Teofilów,57.0,3,270000.0,4737.0
Polesie,110.49,4,650000.0,5883.0
Teofilów,57.0,3,319000.0,5596.0
Retkinia,53.0,3,258000.0,4868.0
Bałuty,62.22,2,325000.0,5223.0
Teofilów,40.47,2,285000.0,7042.0
N/A,34.62,2,269000.0,7770.0
Śródmieście,86.35,3,390000.0,4517.0
Śródmieście,64.66,3,372000.0,5753.0
Złotno,62.0,3,439000.0,7081.0
N/A,101.23,5,678000.0,6698.0
Śródmieście,100.0,2,499000.0,4990.0
Bałuty,56.38,2,189000.0,3352.0
Górna,96.33,4,420000.0,4360.0
Retkinia,56.0,3,370000.0,6607.0
"Łódź-Śródmieście, Łódź-Śródmieście",77.52,3,315000.0,4063.0
Śródmieście,42.2,2,290000.0,6872.0
"Łódź-Śródmieście, Łódź-Śródmieście",77.52,3,315000.0,4063.0
Górna,59.68,2,429934.0,7204.0
N/A,83.4,4,369000.0,4424.0
Śródmieście,118.0,4,745000.0,6314.0
Bałuty,92.0,3,1000000.0,10870.0
Bałuty,155.5,5,1350000.0,8682.0
Bałuty,68.0,4,345000.0,5074.0
Polesie,73.59,3,305000.0,4145.0
N/A,69.06,3,476000.0,6893.0
Bałuty,68.0,4,345000.0,5074.0
Górna,61.45,2,413435.0,6728.0
Górna,40.21,1,292246.0,7268.0
Dąbrowa,45.0,2,229000.0,5089.0
Śródmieście,30.0,1,170000.0,5667.0
Koziny,57.0,3,312000.0,5474.0
Górna,56.54,3,499474.0,8834.0
Bałuty,53.0,3,255000.0,4811.0
Polesie,52.95,2,230000.0,4344.0
Śródmieście,29.9,2,199000.0,6656.0
Doły,50.0,2,279000.0,5580.0
Śródmieście,46.6,2,299000.0,6416.0
Polesie,56.71,2,425000.0,7494.0
Widzew,62.0,3,395000.0,6371.0
Bałuty,56.0,2,315000.0,5625.0
Górna,38.0,2,145000.0,3816.0
Dąbrowa,39.0,2,219000.0,5615.0
Radogoszcz,43.0,2,258000.0,6000.0
Retkinia,64.0,4,365000.0,5703.0
Śródmieście,61.31,2,339000.0,5529.0
Bałuty,39.0,2,215000.0,5513.0
Bałuty,47.0,2,260000.0,5532.0
Chojny,51.0,2,250000.0,4902.0
Stoki,51.0,2,250000.0,4902.0
Rokicie,43.0,3,305000.0,7093.0
Bałuty,36.0,2,189900.0,5275.0
Bałuty,73.67,3,675000.0,9162.0
Doły,56.0,3,310000.0,5536.0
Dąbrowa,36.24,2,199000.0,5491.0
Śródmieście,116.5,3,540000.0,4635.0
Widzew,72.0,3,396000.0,5500.0
Śródmieście,39.46,2,250000.0,6336.0
Śródmieście,42.0,2,390000.0,9286.0
Śródmieście,66.0,4,440000.0,6667.0
Łódź-Polesie,100.0,3,365000.0,3650.0
Śródmieście,83.0,2,350000.0,4217.0
Łódź-Śródmieście,66.0,3,299000.0,4530.0
Zarzew,37.17,1,169000.0,4547.0
Łódź-Polesie,40.13,2,260000.0,6479.0
Łódź-Polesie,46.2,2,174900.0,3786.0
Śródmieście,57.0,2,455900.0,7998.0
Śródmieście,66.0,3,390000.0,5909.0
Łódź-Polesie,45.51,1,169900.0,3733.0
Bałuty,63.0,3,290000.0,4603.0
Widzew,51.0,2,292000.0,5725.0
Górna,44.0,3,299000.0,6795.0
Śródmieście,31.7,1,205000.0,6467.0
Śródmieście,50.0,2,295000.0,5900.0
Łódź-Polesie,108.8,4,820000.0,7537.0
Bałuty,202.0,5,700000.0,3465.0
Zarzew,62.0,3,395000.0,6371.0
Chojny,51.0,2,279000.0,5471.0
Widzew,50.5,2,304000.0,6020.0
Polesie,59.5,3,305000.0,5126.0
Teofilów,37.0,2,210000.0,5676.0
Śródmieście,39.46,2,256000.0,6488.0
Chojny,53.0,2,280000.0,5283.0
Górna,50.54,2,260000.0,5144.0
Bałuty,125.0,6,530000.0,4240.0
Łódź-Górna,44.15,2,185000.0,4190.0
Łódź-Polesie,41.59,1,174000.0,4184.0
Łódź-Śródmieście,178.82,5,1000000.0,5592.0
Widzew,50.0,2,600000.0,12000.0
Teofilów,27.0,1,155000.0,5741.0
Widzew,35.0,1,248000.0,7086.0
Bałuty,78.0,3,399000.0,5115.0
Śródmieście,98.73,3,425000.0,4305.0
Górna,39.46,2,246000.0,6234.0
Dąbrowa,36.24,2,210000.0,5795.0
Bałuty,45.1,2,299000.0,6630.0
Olechów,62.0,3,365000.0,5887.0
Śródmieście,63.29,3,335000.0,5293.0
Śródmieście,16.88,1,99000.0,5865.0
Bałuty,54.0,3,289000.0,5352.0
Koziny,57.5,3,355000.0,6174.0
Śródmieście,22.13,1,135000.0,6100.0
Bałuty,46.56,2,255000.0,5477.0
N/A,55.46,3,290000.0,5229.0
Bałuty,64.0,3,298000.0,4656.0
Śródmieście,46.6,2,300000.0,6438.0
Chojny,33.0,1,190000.0,5758.0
Górna,63.8,3,357280.0,5600.0
Górna,64.8,3,356400.0,5500.0
Polesie,61.6,3,490000.0,7955.0
N/A,83.4,4,369000.0,4424.0
Śródmieście,88.66,3,460000.0,5188.0
Śródmieście,57.0,2,290000.0,5088.0
Górna,64.8,3,362880.0,5600.0
Górna,64.8,3,362880.0,5600.0
Górna,63.8,3,354090.0,5550.0
Widzew,46.03,2,282000.0,6126.0
Widzew,49.55,2,250000.0,5045.0
Śródmieście,41.07,2,275000.0,6696.0
Śródmieście,46.6,2,300000.0,6438.0
Górna,58.0,2,285000.0,4914.0
Olechów,61.0,3,320000.0,5246.0
Księży Młyn,132.11,3,1200000.0,9083.0
Górna,65.0,3,364000.0,5600.0
Górna,64.8,3,362880.0,5600.0
Górna,65.8,3,368480.0,5600.0
Bałuty,50.0,3,349000.0,6980.0
Chojny,60.0,2,449900.0,7498.0
"Łódź-Śródmieście, Łódź-Śródmieście",88.66,6,470000.0,5301.0
Bałuty,50.54,2,325932.0,6449.0
Bałuty,85.51,4,551454.0,6449.0
Bałuty,50.15,2,338462.0,6749.0
Bałuty,41.32,2,303661.0,7349.0
Bałuty,42.71,2,373670.0,8749.0
Bałuty,92.33,4,636985.0,6899.0
Bałuty,99.45,4,825336.0,8299.0
Bałuty,86.42,4,708558.0,8199.0
Bałuty,42.78,2,295139.0,6899.0
Bałuty,43.61,2,311768.0,7149.0
Bałuty,42.09,2,330364.0,7849.0
Bałuty,55.88,2,360370.0,6449.0
Bałuty,42.89,2,358089.0,8349.0
Widzew,60.0,3,299000.0,4983.0
Polesie,124.0,4,399000.0,3218.0
Górna,39.0,2,219000.0,5615.0
Księży Młyn,132.0,3,999000.0,7568.0
Łódź-Bałuty,45.79,2,264900.0,5785.0
Śródmieście,40.89,2,288275.0,7050.0
Widzew,38.91,2,313226.0,8050.0
Widzew,36.75,2,277463.0,7550.0
Bałuty,48.19,2,356558.0,7399.0
Bałuty,55.63,2,369884.0,6649.0
Bałuty,44.25,2,318556.0,7199.0
Bałuty,69.39,3,430149.0,6199.0
Bałuty,49.72,2,362906.0,7299.0
Bałuty,46.13,2,311331.0,6749.0
Bałuty,46.87,2,316326.0,6749.0
Bałuty,43.69,2,307971.0,7049.0
Bałuty,92.01,4,653179.0,7099.0
Bałuty,43.35,2,322914.0,7449.0
Bałuty,69.37,3,405745.0,5849.0
Zdrowie,24.97,1,179000.0,7169.0
Bałuty,102.04,4,719280.0,7049.0
Łódź-Bałuty,73.8,4,375000.0,5081.0
Górna,45.92,2,242000.0,5270.0
Śródmieście,124.52,3,679000.0,5453.0
Śródmieście,69.29,2,338000.0,4878.0
Bałuty,51.8,2,189000.0,3649.0
Widzew,48.61,3,328050.0,6749.0
Widzew,56.4,4,427230.0,7575.0
Widzew,36.75,2,275625.0,7500.0
Widzew,38.0,1,266000.0,7000.0
Górna,37.0,1,N/A,N/A
Bałuty,67.82,3,400070.0,5899.0
Bałuty,67.87,3,393578.0,5799.0
Bałuty,86.47,4,678703.0,7849.0
Bałuty,43.27,2,339626.0,7849.0
Bałuty,67.87,3,393578.0,5799.0
Bałuty,86.47,4,678703.0,7849.0
Bałuty,43.27,2,339626.0,7849.0
Bałuty,44.15,2,355363.0,8049.0
Bałuty,40.15,2,319152.0,7949.0
Bałuty,40.08,2,316592.0,7899.0
Bałuty,67.71,3,379108.0,5599.0
"Łódź-Polesie, Łódź-Polesie",57.5,3,315000.0,5478.0
Doły,54.06,2,216000.0,3996.0
N/A,37.2,2,262000.0,7043.0
Polesie,52.97,3,259000.0,4890.0
Teofilów,45.0,2,205000.0,4556.0
Śródmieście,69.36,3,589491.0,8499.0
Śródmieście,60.0,4,364000.0,6067.0
Radogoszcz,63.56,4,349000.0,5491.0
