District,Area,Rooms,Total price,Price per meter square
Sławin,51.0,2,380000.0,7451.0
Dziesiąta,40.0,1,257000.0,6425.0
Śródmieście,67.1,4,439996.0,6557.0
Śródmieście,58.0,5,439966.0,7586.0
Dziesiąta,49.0,3,299000.0,6102.0
Lsm,38.0,2,265000.0,6974.0
Sławinek,34.0,1,370000.0,10882.0
Wrotków,49.0,2,345000.0,7041.0
Śródmieście,101.5,3,790000.0,7783.0
Czechów,85.0,4,479900.0,5646.0
Tatary,25.0,1,200000.0,8000.0
Tatary,37.5,2,287200.0,7659.0
Czuby,96.0,6,549000.0,5719.0
Wrotków,38.4,2,304000.0,7917.0
Kalinowszczyzna,34.0,1,229000.0,6735.0
Czuby,29.0,1,249000.0,8586.0
Czechów,48.0,3,339000.0,7063.0
Bronowice,31.0,1,219000.0,7065.0
N/A,70.53,3,528975.0,7500.0
N/A,70.22,3,526650.0,7500.0
N/A,70.53,3,528975.0,7500.0
N/A,70.22,3,526650.0,7500.0
N/A,70.94,3,532050.0,7500.0
Śródmieście,119.6,5,11233600.0,93926.0
N/A,70.94,3,532050.0,7500.0
N/A,70.94,3,532050.0,7500.0
N/A,70.47,3,528525.0,7500.0
N/A,70.22,3,526650.0,7500.0
N/A,70.32,3,527400.0,7500.0
Śródmieście,101.86,5,926926.0,9100.0
N/A,70.53,3,528975.0,7500.0
N/A,70.22,3,526650.0,7500.0
Sławin,51.0,2,380000.0,7451.0
Dziesiąta,40.0,1,257000.0,6425.0
Śródmieście,67.1,4,439996.0,6557.0
Śródmieście,58.0,5,439966.0,7586.0
Dziesiąta,49.0,3,299000.0,6102.0
Lsm,38.0,2,265000.0,6974.0
Sławinek,34.0,1,370000.0,10882.0
Wrotków,49.0,2,345000.0,7041.0
Śródmieście,101.5,3,790000.0,7783.0
Czechów,85.0,4,479900.0,5646.0
Tatary,25.0,1,200000.0,8000.0
Tatary,37.5,2,287200.0,7659.0
Czuby,96.0,6,549000.0,5719.0
Wrotków,38.4,2,304000.0,7917.0
Kalinowszczyzna,34.0,1,229000.0,6735.0
Czuby,29.0,1,249000.0,8586.0
Czechów,48.0,3,339000.0,7063.0
Bronowice,31.0,1,219000.0,7065.0
N/A,70.53,3,528975.0,7500.0
N/A,70.22,3,526650.0,7500.0
