District,Area,Rooms,Total price,Price per meter square
N/A,57.0,4,249000.0,4368.0
Słupna,58.63,2,147000.0,2507.0
N/A,52.1,3,249000.0,4779.0
N/A,50.7,3,130000.0,2564.0
N/A,73.0,4,269000.0,3685.0
N/A,39.6,2,205000.0,5177.0
N/A,47.0,2,240000.0,5106.0
N/A,38.0,2,205000.0,5395.0
CENTRUM,38.0,2,152000.0,4000.0
Brzęczkowice,73.0,4,275000.0,3767.0
CENTRUM,39.0,2,169000.0,4333.0
CENTRUM,42.0,2,29000.0,690.0
CENTRUM,44.0,3,26000.0,591.0
N/A,120.0,5,239000.0,1992.0
N/A,37.0,2,129500.0,3500.0
Brzezinka,79.94,2,690000.0,8631.0
Śródmieście,57.0,3,249000.0,4368.0
N/A,40.0,2,205000.0,5125.0
PIASEK,39.1,2,195000.0,4987.0
Wesoła,133.0,5,340000.0,2556.0
Janów Miejski,60.0,3,280000.0,4667.0
N/A,20.0,1,108000.0,5400.0
CENTRUM,44.0,2,179000.0,4068.0
N/A,65.1,3,419000.0,6436.0
Centrum,80.3,3,249000.0,3101.0
Wesoła,46.7,3,194000.0,4154.0
N/A,52.0,3,350000.0,6731.0
Wielka Skotnica,45.0,2,226000.0,5022.0
N/A,48.0,2,147000.0,3063.0
Wielka Skotnica,70.0,3,260000.0,3714.0
CENTRUM,75.0,3,369000.0,4920.0
N/A,79.3,3,260000.0,3279.0
N/A,57.0,4,249000.0,4368.0
Słupna,58.63,2,147000.0,2507.0
N/A,52.1,3,249000.0,4779.0
N/A,50.7,3,130000.0,2564.0
N/A,73.0,4,269000.0,3685.0
N/A,39.6,2,205000.0,5177.0
N/A,47.0,2,240000.0,5106.0
N/A,38.0,2,205000.0,5395.0
CENTRUM,38.0,2,152000.0,4000.0
Brzęczkowice,73.0,4,275000.0,3767.0
CENTRUM,39.0,2,169000.0,4333.0
CENTRUM,42.0,2,29000.0,690.0
CENTRUM,44.0,3,26000.0,591.0
N/A,120.0,5,239000.0,1992.0
N/A,37.0,2,129500.0,3500.0
Brzezinka,79.94,2,690000.0,8631.0
Śródmieście,57.0,3,249000.0,4368.0
N/A,40.0,2,205000.0,5125.0
PIASEK,39.1,2,195000.0,4987.0
Wesoła,133.0,5,340000.0,2556.0
Janów Miejski,60.0,3,280000.0,4667.0
N/A,20.0,1,108000.0,5400.0
CENTRUM,44.0,2,179000.0,4068.0
N/A,65.1,3,419000.0,6436.0
Centrum,80.3,3,249000.0,3101.0
Wesoła,46.7,3,194000.0,4154.0
N/A,52.0,3,350000.0,6731.0
Wielka Skotnica,45.0,2,226000.0,5022.0
N/A,48.0,2,147000.0,3063.0
Wielka Skotnica,70.0,3,260000.0,3714.0
CENTRUM,75.0,3,369000.0,4920.0
N/A,79.3,3,260000.0,3279.0
Brzęczkowice,70.0,4,305000.0,4357.0
CENTRUM,63.0,3,215000.0,3413.0
Centrum,56.0,3,195000.0,3482.0
N/A,57.0,3,249000.0,4368.0
Brzęczkowice,63.0,3,267000.0,4238.0
CENTRUM,85.0,3,324000.0,3812.0
N/A,134.97,4,340000.0,2519.0
CENTRUM,113.0,6,399000.0,3531.0
