District,Area,Rooms,Total price,Price per meter square
N/A,82.8,3,339000.0,4094.0
Kieźliny,62.5,3,289000.0,4624.0
z własnym ogrodem lub strychem.,79.58,4,395000.0,4964.0
N/A,48.2,3,270000.0,5602.0
Pieczewo,72.6,4,369000.0,5083.0
Jaroty,39.06,2,299900.0,7678.0
N/A,48.0,2,389000.0,8104.0
Jaroty,39.08,2,299000.0,7651.0
N/A,38.8,2,271000.0,6985.0
Zatorze,53.0,2,339000.0,6396.0
Jaroty,56.83,3,449000.0,7901.0
N/A,52.0,3,359000.0,6904.0
Jaroty,58.45,3,369000.0,6313.0
Pojezierze,32.3,2,209000.0,6471.0
Pojezierze,38.1,2,239000.0,6273.0
NAD JEZIOREM DŁUGIM,66.13,3,519000.0,7848.0
N/A,41.2,2,239000.0,5801.0
Redykajny,54.2,3,339000.0,6255.0
N/A,37.7,2,259000.0,6870.0
Pieczewo,64.5,3,369000.0,5721.0
PODGRODZIE,52.62,3,349000.0,6632.0
OS. BELWEDER,69.38,3,399000.0,5751.0
KOŚCIUSZKI,63.55,3,515000.0,8104.0
N/A,35.8,2,249000.0,6955.0
NAD JEZIOREM DŁUGIM,89.56,4,626920.0,7000.0
PODGRODZIE,64.58,3,325000.0,5033.0
Pojezierze,48.2,3,255000.0,5290.0
Pojezierze,39.0,2,272000.0,6974.0
NAD JEZIOREM DŁUGIM,69.82,3,488740.0,7000.0
N/A,59.39,2,368218.0,6200.0
N/A,35.04,2,215000.0,6136.0
N/A,54.91,3,379000.0,6902.0
N/A,82.8,3,339000.0,4094.0
Kieźliny,62.5,3,289000.0,4624.0
z własnym ogrodem lub strychem.,79.58,4,395000.0,4964.0
N/A,48.2,3,270000.0,5602.0
Pieczewo,72.6,4,369000.0,5083.0
Jaroty,39.06,2,299900.0,7678.0
N/A,48.0,2,389000.0,8104.0
Jaroty,39.08,2,299000.0,7651.0
N/A,38.8,2,271000.0,6985.0
Zatorze,53.0,2,339000.0,6396.0
Jaroty,56.83,3,449000.0,7901.0
N/A,52.0,3,359000.0,6904.0
Jaroty,58.45,3,369000.0,6313.0
Pojezierze,32.3,2,209000.0,6471.0
Pojezierze,38.1,2,239000.0,6273.0
NAD JEZIOREM DŁUGIM,66.13,3,519000.0,7848.0
N/A,41.2,2,239000.0,5801.0
Redykajny,54.2,3,339000.0,6255.0
N/A,37.7,2,259000.0,6870.0
Pieczewo,64.5,3,369000.0,5721.0
PODGRODZIE,52.62,3,349000.0,6632.0
OS. BELWEDER,69.38,3,399000.0,5751.0
KOŚCIUSZKI,63.55,3,515000.0,8104.0
N/A,35.8,2,249000.0,6955.0
NAD JEZIOREM DŁUGIM,89.56,4,626920.0,7000.0
PODGRODZIE,64.58,3,325000.0,5033.0
Pojezierze,48.2,3,255000.0,5290.0
Pojezierze,39.0,2,272000.0,6974.0
NAD JEZIOREM DŁUGIM,69.82,3,488740.0,7000.0
N/A,59.39,2,368218.0,6200.0
N/A,35.04,2,215000.0,6136.0
N/A,54.91,3,379000.0,6902.0
N/A,59.82,3,311064.0,5200.0
Jaroty,73.3,3,359000.0,4898.0
Zatorze,60.59,3,315000.0,5199.0
N/A,100.0,5,399900.0,3999.0
Nagórki,59.93,3,349000.0,5823.0
N/A,56.01,3,341661.0,6100.0
KOŚCIUSZKI,60.6,3,355000.0,5858.0
GRUNWALDZKIE,53.21,2,275000.0,5168.0
N/A,44.0,3,239000.0,5432.0
N/A,59.5,3,368900.0,6200.0
NAD JEZIOREM DŁUGIM,66.25,3,457125.0,6900.0
ŚRÓDMIEŚCIE,53.7,3,329000.0,6127.0
Nagórki,85.83,3,629000.0,7328.0
N/A,56.11,3,342271.0,6100.0
Nagórki,48.3,2,289000.0,5983.0
Jaroty,53.47,3,399000.0,7462.0
N/A,99.0,5,399900.0,4039.0
ŚRÓDMIEŚCIE,91.4,3,329000.0,3600.0
Kieźliny,62.5,3,289000.0,4624.0
Zatorze,41.2,2,239000.0,5801.0
N/A,56.01,3,341661.0,6100.0
N/A,48.7,2,268000.0,5503.0
N/A,62.5,3,289000.0,4624.0
Jaroty,68.05,3,399000.0,5863.0
N/A,62.5,3,289000.0,4624.0
PODGRODZIE,52.5,2,289000.0,5505.0
