District,Area,Rooms,Total price,Price per meter square
N/A,25.0,1,199000.0,7960.0
CENTRUM,69.0,5,545100.0,7900.0
CENTRUM,59.0,4,466100.0,7900.0
ŚRÓDMIEŚCIE,37.0,1,229000.0,6189.0
CENTRUM,24.49,1,210000.0,8575.0
Armii Krajowej,45.05,2,340000.0,7547.0
Armii Krajowej,44.29,2,359000.0,8106.0
Grudzice,106.0,4,469900.0,4433.0
ZWM,59.8,3,349900.0,5851.0
CENTRUM,43.57,2,365000.0,8377.0
Gosławice,65.0,3,485900.0,7475.0
Zaodrze,32.0,2,219000.0,6844.0
Zaodrze,21.11,1,229000.0,10848.0
Zaodrze,52.88,2,310000.0,5862.0
CENTRUM,62.0,3,399000.0,6435.0
ZWM,47.4,2,279000.0,5886.0
ZWM,47.5,2,273000.0,5747.0
MALINKA,102.0,4,750000.0,7353.0
ŚRÓDMIEŚCIE,28.0,1,189000.0,6750.0
MALINKA,62.0,3,485000.0,7823.0
Zaodrze,41.09,2,237000.0,5768.0
Zaodrze,54.2,3,319000.0,5886.0
Zaodrze,41.14,2,250000.0,6077.0
Zaodrze,61.0,3,355000.0,5820.0
ZWM,66.1,3,325000.0,4917.0
Nowa Wieś Królewska,100.0,4,599000.0,5990.0
CENTRUM,40.0,2,295000.0,7375.0
MALINKA,41.0,2,377000.0,9195.0
N/A,132.5,3,690000.0,5208.0
ŚRÓDMIEŚCIE,42.4,3,315000.0,7429.0
N/A,70.0,3,499000.0,7129.0
ŚRÓDMIEŚCIE,208.6,4,859000.0,4118.0
N/A,25.0,1,199000.0,7960.0
CENTRUM,69.0,5,545100.0,7900.0
CENTRUM,59.0,4,466100.0,7900.0
ŚRÓDMIEŚCIE,37.0,1,229000.0,6189.0
CENTRUM,24.49,1,210000.0,8575.0
Armii Krajowej,45.05,2,340000.0,7547.0
Armii Krajowej,44.29,2,359000.0,8106.0
Grudzice,106.0,4,469900.0,4433.0
ZWM,59.8,3,349900.0,5851.0
CENTRUM,43.57,2,365000.0,8377.0
Gosławice,65.0,3,485900.0,7475.0
Zaodrze,32.0,2,219000.0,6844.0
Zaodrze,21.11,1,229000.0,10848.0
Zaodrze,52.88,2,310000.0,5862.0
CENTRUM,62.0,3,399000.0,6435.0
