District,Area,Rooms,Total price,Price per meter square
N/A,41.9,2,N/A,N/A
N/A,53.11,2,N/A,N/A
N/A,87.44,3,673288.0,7700.0
Rataje,38.0,2,307000.0,8079.0
Rataje,44.0,2,295000.0,6705.0
N/A,87.33,3,733572.0,8400.0
Nowe Miasto,80.0,4,739000.0,9238.0
N/A,96.0,5,445000.0,4635.0
Szczepankowo,100.68,5,449000.0,4460.0
Szczepankowo,84.29,4,379000.0,4496.0
N/A,69.0,4,209000.0,3029.0
Centrum,33.0,2,339000.0,10273.0
Łazarz,55.0,3,450000.0,8182.0
N/A,74.0,3,485000.0,6554.0
Centrum,55.0,2,525000.0,9545.0
Jeżyce,46.0,2,355000.0,7717.0
N/A,80.0,4,389900.0,4874.0
Podolany,92.0,4,589000.0,6402.0
Śródka,61.0,2,519000.0,8508.0
Mieszkania i Apartamenty,93.18,4,400674.0,4300.0
Grunwald,43.0,2,320000.0,7442.0
Grunwald,43.0,2,315000.0,7326.0
Piątkowo,63.0,3,345000.0,5476.0
Grunwald,73.51,3,477807.0,6500.0
Grunwald,28.21,1,251069.0,8900.0
Grunwald,63.38,3,424646.0,6700.0
Grunwald,40.08,2,304608.0,7600.0
Piątkowo,63.0,3,430000.0,6825.0
Winogrady,65.0,3,439000.0,6754.0
N/A,21.0,1,225000.0,10714.0
Wilda,44.0,2,440000.0,10000.0
Wilda,55.41,3,385000.0,6948.0
N/A,41.9,2,N/A,N/A
N/A,53.11,2,N/A,N/A
N/A,87.44,3,673288.0,7700.0
Rataje,38.0,2,307000.0,8079.0
Rataje,44.0,2,295000.0,6705.0
N/A,87.33,3,733572.0,8400.0
Nowe Miasto,80.0,4,739000.0,9238.0
N/A,96.0,5,445000.0,4635.0
Szczepankowo,100.68,5,449000.0,4460.0
Szczepankowo,84.29,4,379000.0,4496.0
N/A,69.0,4,209000.0,3029.0
Centrum,33.0,2,339000.0,10273.0
Łazarz,55.0,3,450000.0,8182.0
N/A,74.0,3,485000.0,6554.0
Centrum,55.0,2,525000.0,9545.0
Jeżyce,46.0,2,355000.0,7717.0
N/A,80.0,4,389900.0,4874.0
Podolany,92.0,4,589000.0,6402.0
Śródka,61.0,2,519000.0,8508.0
Mieszkania i Apartamenty,93.18,4,400674.0,4300.0
Grunwald,43.0,2,320000.0,7442.0
Grunwald,43.0,2,315000.0,7326.0
Piątkowo,63.0,3,345000.0,5476.0
Grunwald,73.51,3,477807.0,6500.0
Grunwald,28.21,1,251069.0,8900.0
Grunwald,63.38,3,424646.0,6700.0
Grunwald,40.08,2,304608.0,7600.0
Piątkowo,63.0,3,430000.0,6825.0
Winogrady,65.0,3,439000.0,6754.0
N/A,21.0,1,225000.0,10714.0
Wilda,44.0,2,440000.0,10000.0
Wilda,55.41,3,385000.0,6948.0
Łazarz,33.0,2,361000.0,10939.0
Nowe Miasto,48.79,3,419000.0,8588.0
Grunwald,79.5,3,429000.0,5396.0
Winogrady,63.4,3,415000.0,6546.0
Stare Miasto,62.0,2,387500.0,6250.0
N/A,28.0,N/A,275000.0,9821.0
Sołacz,158.0,N/A,1300000.0,8228.0
N/A,65.0,3,388178.0,5972.0
N/A,78.2,3,430000.0,5499.0
Wilda,34.32,1,245000.0,7139.0
Piątkowo,63.4,3,430000.0,6782.0
Nowe Miasto,37.0,2,293000.0,7919.0
N/A,68.0,3,449000.0,6603.0
Jeżyce,40.0,N/A,180000.0,4500.0
Centrum,61.5,3,530000.0,8618.0
Jeżyce,54.0,2,399900.0,7406.0
Stare Miasto,25.54,1,306480.0,12000.0
Wilda,29.45,1,N/A,N/A
Grunwald,84.27,4,640452.0,7600.0
N/A,58.82,3,N/A,N/A
Naramowice,71.39,3,520000.0,7284.0
N/A,39.55,2,264000.0,6675.0
Rataje,69.0,3,599000.0,8681.0
Strzeszyn,48.0,2,359000.0,7479.0
Łazarz,61.02,2,360000.0,5900.0
Łazarz,25.62,1,151000.0,5894.0
Grunwald,55.9,2,410000.0,7335.0
Rataje,71.0,3,629000.0,8859.0
JEŻYCE,94.0,4,1347000.0,14330.0
Wilda,42.0,2,320000.0,7619.0
Łazarz,45.0,2,289000.0,6422.0
Winogrady,38.0,2,315000.0,8289.0
Winogrady,48.0,3,369000.0,7688.0
Rataje,61.2,3,340000.0,5556.0
Mieszkania i Apartamenty,110.65,5,497925.0,4500.0
Łazarz,63.1,2,600000.0,9509.0
Łazarz,106.57,4,895188.0,8400.0
Łazarz,27.97,1,165000.0,5899.0
Wilda,42.0,1,310000.0,7381.0
Wilda,32.5,1,69000.0,2123.0
Rataje,50.0,2,84900.0,1698.0
Mieszkania i Apartamenty,55.8,3,301320.0,5400.0
Naramowice,71.14,3,560000.0,7872.0
Jeżyce,86.23,3,515000.0,5972.0
deweloperski,86.0,4,343000.0,3988.0
Naramowice,70.2,4,555000.0,7906.0
Naramowice,52.81,2,399000.0,7555.0
Rataje,61.2,4,340000.0,5556.0
Naramowice,100.6,3,700000.0,6958.0
deweloperski,70.0,3,298000.0,4257.0
Winogrady,46.8,2,359000.0,7671.0
Łazarz,54.71,3,450000.0,8225.0
Łazarz,63.7,4,499000.0,7834.0
Rataje,50.5,2,465000.0,9208.0
Rataje,50.5,2,465000.0,9208.0
Dębiec,55.04,3,410000.0,7449.0
Ogrody,136.0,3,420000.0,3088.0
Wilda,62.8,3,450000.0,7166.0
Żegrze,63.4,3,375000.0,5915.0
Piątkowo,63.4,3,385000.0,6073.0
Piątkowo,64.0,3,345000.0,5391.0
Piątkowo,40.1,2,375000.0,9352.0
Naramowice,71.0,3,560000.0,7887.0
Piątkowo,74.1,4,480000.0,6478.0
Grunwald,42.2,2,300000.0,7109.0
Grunwald,61.32,2,460000.0,7502.0
Górczyn,34.1,1,285000.0,8358.0
Łazarz,74.0,5,529000.0,7149.0
Mieszkania i Apartamenty,127.9,5,549970.0,4300.0
Naramowice,47.0,2,380000.0,8085.0
Wilda,40.7,2,299000.0,7346.0
Wilda,63.76,3,588000.0,9222.0
Nowe Miasto,70.2,3,420000.0,5983.0
Naramowice,70.2,4,555000.0,7906.0
Naramowice,45.7,2,318716.0,6974.0
Naramowice,59.1,3,392063.0,6634.0
Naramowice,51.1,2,350581.0,6861.0
Mieszkania i Apartamenty,65.41,3,353214.0,5400.0
Winogrady,37.0,1,469900.0,12700.0
Winogrady,38.0,2,310000.0,8158.0
Łazarz,85.09,3,589000.0,6922.0
Naramowice,50.0,2,399000.0,7980.0
Piątkowo,31.2,1,305000.0,9776.0
Podolany,55.26,2,499000.0,9030.0
Grunwald,64.4,3,379000.0,5885.0
N/A,56.9,2,370000.0,6503.0
Grunwald,55.75,3,446600.0,8011.0
Łazarz,100.0,4,499000.0,4990.0
Łazarz,111.0,5,580000.0,5225.0
Stare Miasto,104.0,3,899000.0,8644.0
deweloperski,70.0,3,298000.0,4257.0
Nowe Miasto,79.0,4,460000.0,5823.0
Naramowice,94.0,4,570000.0,6064.0
Winogrady,50.09,2,383188.0,7650.0
Winogrady,50.06,2,382959.0,7650.0
Garbary,60.15,3,521683.0,8673.0
Winogrady,50.05,2,392892.0,7850.0
Jeżyce,65.65,3,484913.0,7386.0
Rataje,61.85,3,451505.0,7300.0
N/A,80.0,4,389900.0,4874.0
Malta,40.52,2,324160.0,8000.0
Grunwald,58.0,2,394000.0,6793.0
Łazarz,100.0,4,499000.0,4990.0
Garbary,43.65,2,421147.0,9648.0
Centrum,43.24,2,378454.0,8752.0
Jeżyce,48.11,2,369271.0,7676.0
Grunwald,73.6,4,465000.0,6318.0
Winogrady,74.8,4,557260.0,7450.0
Żegrze,61.83,3,457542.0,7400.0
Centrum,54.0,2,387000.0,7167.0
Jeżyce,38.08,2,304870.0,8006.0
Grunwald,73.29,4,480193.0,6552.0
Rataje,64.87,3,480038.0,7400.0
N/A,96.0,5,445000.0,4635.0
N/A,96.0,5,445000.0,4635.0
N/A,69.4,4,239000.0,3444.0
N/A,69.4,4,244000.0,3516.0
Malta,29.51,2,270016.0,9150.0
Rataje,32.58,2,268785.0,8250.0
Malta,51.88,3,383912.0,7400.0
Rataje,50.15,3,388662.0,7750.0
Rataje,35.82,1,311884.0,8707.0
Górczyn,65.39,3,379000.0,5796.0
Rataje,39.77,2,308217.0,7750.0
Grunwald,42.43,2,359500.0,8473.0
N/A,79.6,4,349000.0,4384.0
Sołacz,55.1,2,489000.0,8875.0
Łazarz,76.8,3,479000.0,6237.0
Winogrady,48.8,2,373320.0,7650.0
Nowe Miasto,33.7,2,299000.0,8872.0
Malta,62.15,4,456802.0,7350.0
Malta,34.57,2,292116.0,8450.0
Łazarz,87.52,3,679000.0,7758.0
Łazarz,100.0,4,499000.0,4990.0
Winogrady,35.16,1,274248.0,7800.0
N/A,69.4,4,239000.0,3444.0
Winogrady,54.7,2,412985.0,7550.0
Rataje,64.87,3,480038.0,7400.0
Winogrady,45.78,2,439000.0,9589.0
N/A,69.4,4,239000.0,3444.0
Winogrady,35.0,1,430000.0,12286.0
Winogrady,54.7,2,412985.0,7550.0
Winogrady,48.8,2,373320.0,7650.0
N/A,57.8,2,394000.0,6817.0
Winogrady,74.8,4,557260.0,7450.0
Winogrady,88.72,4,678708.0,7650.0
Winogrady,35.28,1,271656.0,7700.0
Grunwald,47.0,2,423000.0,9000.0
Mieszkania i Apartamenty,100.29,5,471363.0,4700.0
N/A,74.0,3,370000.0,5000.0
N/A,80.0,4,389900.0,4874.0
Winogrady,58.53,3,447755.0,7650.0
Winogrady,35.16,1,270732.0,7700.0
N/A,69.4,4,239000.0,3444.0
Winogrady,58.53,3,459461.0,7850.0
Nowe Miasto,58.05,3,434520.0,7485.0
Naramowice,59.75,4,403313.0,6750.0
Malta,48.08,3,353388.0,7350.0
Malta,28.04,1,256566.0,9150.0
Rataje,47.14,2,368740.0,7822.0
Rataje,41.24,2,313424.0,7600.0
Rataje,60.73,3,480392.0,7910.0
Rataje,28.16,1,246400.0,8750.0
Rataje,42.12,3,332748.0,7900.0
N/A,69.4,4,239000.0,3444.0
N/A,96.0,5,445000.0,4635.0
Nowe Miasto,61.33,3,520000.0,8479.0
N/A,69.4,4,239000.0,3444.0
Rataje,33.0,1,314450.0,9529.0
N/A,22.63,1,164913.0,7287.0
N/A,20.06,1,164913.0,8221.0
N/A,23.8,1,164913.0,6929.0
N/A,20.06,1,164913.0,8221.0
N/A,20.06,1,164913.0,8221.0
N/A,20.06,1,164913.0,8221.0
Rataje,110.0,3,1075000.0,9773.0
Grunwald,102.9,3,750000.0,7289.0
Grunwald,37.0,2,239000.0,6459.0
N/A,22.63,1,164913.0,7287.0
N/A,18.74,1,164913.0,8800.0
Rataje,50.17,3,402000.0,8013.0
Rataje,110.0,3,1175000.0,10682.0
N/A,48.0,2,435000.0,9063.0
N/A,35.47,2,280213.0,7900.0
Grunwald,106.0,3,689000.0,6500.0
N/A,22.63,1,164913.0,7287.0
Grunwald,62.7,3,430000.0,6858.0
Piątkowo,77.9,3,619000.0,7946.0
N/A,105.5,3,599000.0,5678.0
N/A,25.77,1,164913.0,6399.0
N/A,20.85,1,164913.0,7910.0
Grunwald,38.0,2,247000.0,6500.0
N/A,21.31,1,164913.0,7739.0
N/A,19.6,1,164913.0,8414.0
N/A,20.06,1,164913.0,8221.0
N/A,20.14,1,164913.0,8188.0
Jeżyce,10.0,1,250.0,25.0
N/A,71.0,3,629000.0,8859.0
N/A,48.45,3,363375.0,7500.0
Grunwald,45.6,2,385000.0,8443.0
N/A,26.48,1,177213.0,6692.0
N/A,22.63,1,164913.0,7287.0
Nowe Miasto,98.0,4,448000.0,4571.0
N/A,22.63,1,164913.0,7287.0
Podolany,55.26,2,499000.0,9030.0
N/A,20.06,1,164913.0,8221.0
N/A,19.6,1,164913.0,8414.0
N/A,21.4,1,164913.0,7706.0
N/A,19.97,1,164913.0,8258.0
N/A,19.77,1,164913.0,8342.0
Rataje,53.0,2,398900.0,7526.0
Grunwald,26.5,1,282900.0,10675.0
N/A,112.6,3,710000.0,6306.0
N/A,56.87,2,590000.0,10375.0
Łazarz,84.7,4,538000.0,6352.0
Grunwald,61.3,2,440000.0,7178.0
Łazarz,65.0,3,490000.0,7538.0
N/A,50.15,3,391170.0,7800.0
N/A,28.17,1,246488.0,8750.0
N/A,40.86,2,347310.0,8500.0
N/A,21.31,1,164913.0,7739.0
Winogrady,45.78,2,399000.0,8716.0
N/A,62.0,3,419000.0,6758.0
Rataje,40.0,2,369840.0,9246.0
Rataje,40.0,2,369840.0,9246.0
N/A,20.85,1,164913.0,7910.0
N/A,21.31,1,164913.0,7739.0
N/A,21.31,1,164913.0,7739.0
N/A,21.31,1,164913.0,7739.0
Łazarz,56.81,2,425000.0,7481.0
Łazarz,99.9,5,530000.0,5305.0
Winogrady,45.78,2,399000.0,8716.0
N/A,62.0,3,419000.0,6758.0
N/A,31.76,1,290604.0,9150.0
Winogrady,59.51,3,452276.0,7600.0
N/A,20.85,1,164913.0,7910.0
N/A,20.06,1,164913.0,8221.0
N/A,24.26,1,164913.0,6798.0
N/A,20.06,1,164913.0,8221.0
N/A,19.6,1,164913.0,8414.0
N/A,22.18,1,164913.0,7435.0
N/A,18.74,1,164913.0,8800.0
Podolany,58.0,3,454000.0,7828.0
Rataje,42.0,2,277500.0,6607.0
N/A,72.99,4,635013.0,8700.0
N/A,30.01,1,327109.0,10900.0
Winogrady,47.6,3,355000.0,7458.0
Górczyn,65.86,2,499000.0,7577.0
Stare Miasto,106.0,4,429000.0,4047.0
N/A,19.97,1,164913.0,8258.0
N/A,20.14,1,164913.0,8188.0
N/A,19.96,1,164913.0,8262.0
Jeżyce,58.33,3,669000.0,11469.0
N/A,20.85,1,164913.0,7910.0
Centrum,42.55,2,439000.0,10317.0
N/A,20.85,1,164913.0,7910.0
Jeżyce,79.0,2,519000.0,6570.0
N/A,19.97,1,164913.0,8258.0
Jeżyce,58.33,3,669000.0,11469.0
Rataje,50.0,3,320000.0,6400.0
N/A,20.06,1,164913.0,8221.0
N/A,24.85,1,177213.0,7131.0
N/A,19.5,1,164913.0,8457.0
N/A,20.06,1,164913.0,8221.0
N/A,20.06,1,164913.0,8221.0
N/A,19.5,1,164913.0,8457.0
N/A,19.96,1,164913.0,8262.0
N/A,19.5,1,164913.0,8457.0
N/A,19.96,1,164913.0,8262.0
Trójpole,49.5,2,439000.0,8869.0
N/A,21.31,1,164913.0,7739.0
N/A,20.85,1,164913.0,7910.0
N/A,21.31,1,164913.0,7739.0
Jeżyce,55.0,2,525000.0,9545.0
Piątkowo,63.0,3,370000.0,5873.0
N/A,21.31,1,164913.0,7739.0
N/A,19.96,1,164913.0,8262.0
N/A,19.96,1,164913.0,8262.0
Poznań-Stare Miasto,50.35,3,444000.0,8818.0
N/A,21.31,1,164913.0,7739.0
Winogrady,48.8,2,324000.0,6639.0
N/A,22.63,1,164913.0,7287.0
Rataje,23.0,1,186000.0,8087.0
N/A,21.4,1,164913.0,7706.0
N/A,20.06,1,164913.0,8221.0
