District,Area,Rooms,Total price,Price per meter square
N/A,42.0,2,377000.0,8976.0
N/A,44.96,2,494560.0,11000.0
N/A,38.96,2,467520.0,12000.0
N/A,49.68,2,496750.0,9999.0
Nowe Miasto,53.5,3,365000.0,6822.0
N/A,74.4,3,389000.0,5228.0
N/A,52.9,3,309000.0,5841.0
GEN. GROTA-ROWECKIEGO,43.55,2,359000.0,8243.0
GEN. GROTA-ROWECKIEGO,64.4,3,419000.0,6506.0
N/A,53.0,3,399000.0,7528.0
N/A,41.03,2,269000.0,6556.0
Załęże,104.05,5,399000.0,3835.0
Baranówka,79.3,5,389000.0,4905.0
N/A,30.35,N/A,296200.0,9759.0
N/A,79.3,5,389000.0,4905.0
N/A,43.93,2,268000.0,6101.0
Baranówka,53.4,2,260000.0,4869.0
N/A,40.02,2,299000.0,7471.0
N/A,47.09,2,409000.0,8686.0
Drabinianka,49.2,2,360000.0,7317.0
N/A,72.0,4,525000.0,7292.0
N/A,61.0,4,377000.0,6180.0
N/A,66.18,3,394000.0,5953.0
N/A,34.5,2,312000.0,9043.0
N/A,66.7,4,286000.0,4288.0
N/A,62.0,3,505000.0,8145.0
N/A,63.9,3,445000.0,6964.0
N/A,59.58,3,363438.0,6100.0
Baranówka,58.1,3,320000.0,5508.0
N/A,59.1,3,419900.0,7105.0
N/A,100.73,3,690000.0,6850.0
N/A,59.58,3,357480.0,6000.0
N/A,42.0,2,377000.0,8976.0
N/A,44.96,2,494560.0,11000.0
N/A,38.96,2,467520.0,12000.0
N/A,49.68,2,496750.0,9999.0
Nowe Miasto,53.5,3,365000.0,6822.0
N/A,74.4,3,389000.0,5228.0
N/A,52.9,3,309000.0,5841.0
GEN. GROTA-ROWECKIEGO,43.55,2,359000.0,8243.0
GEN. GROTA-ROWECKIEGO,64.4,3,419000.0,6506.0
N/A,53.0,3,399000.0,7528.0
N/A,41.03,2,269000.0,6556.0
Załęże,104.05,5,399000.0,3835.0
Baranówka,79.3,5,389000.0,4905.0
N/A,30.35,N/A,296200.0,9759.0
N/A,79.3,5,389000.0,4905.0
N/A,43.93,2,268000.0,6101.0
Baranówka,53.4,2,260000.0,4869.0
N/A,40.02,2,299000.0,7471.0
N/A,47.09,2,409000.0,8686.0
Drabinianka,49.2,2,360000.0,7317.0
N/A,72.0,4,525000.0,7292.0
N/A,61.0,4,377000.0,6180.0
N/A,66.18,3,394000.0,5953.0
N/A,34.5,2,312000.0,9043.0
N/A,66.7,4,286000.0,4288.0
N/A,62.0,3,505000.0,8145.0
N/A,63.9,3,445000.0,6964.0
N/A,59.58,3,363438.0,6100.0
Baranówka,58.1,3,320000.0,5508.0
N/A,59.1,3,419900.0,7105.0
N/A,100.73,3,690000.0,6850.0
N/A,59.58,3,357480.0,6000.0
N/A,36.0,1,299000.0,8306.0
N/A,61.1,3,366000.0,5990.0
N/A,63.0,3,420000.0,6667.0
N/A,75.15,6,570000.0,7585.0
N/A,52.44,3,350000.0,6674.0
N/A,59.58,3,351522.0,5900.0
Budziwój,102.52,5,378700.0,3694.0
N/A,34.11,2,309000.0,9059.0
N/A,49.0,4,460000.0,9388.0
Słocina,48.0,2,440000.0,9167.0
Budziwój,58.41,3,279000.0,4777.0
N/A,72.76,3,339000.0,4659.0
Drabinianka,100.0,4,530000.0,5300.0
N/A,66.08,3,396480.0,6000.0
N/A,62.4,3,485000.0,7772.0
N/A,87.0,4,405000.0,4655.0
N/A,82.17,4,373000.0,4539.0
Zalesie,45.94,3,255331.0,5558.0
N/A,100.0,4,530000.0,5300.0
N/A,54.57,3,350000.0,6414.0
Staroniwa,45.0,2,289000.0,6422.0
Słocina,100.7,7,458000.0,4548.0
N/A,40.02,2,299000.0,7471.0
N/A,53.0,3,385000.0,7264.0
N/A,56.12,3,336663.0,5999.0
N/A,100.7,7,458000.0,4548.0
Zalesie,53.19,2,300000.0,5640.0
Nowe Miasto,48.0,2,415000.0,8646.0
N/A,49.46,3,321400.0,6498.0
N/A,62.64,3,375777.0,5999.0
Staromieście,55.91,3,430000.0,7691.0
N/A,70.82,4,393051.0,5550.0
N/A,103.0,4,769000.0,7466.0
N/A,49.77,2,314500.0,6319.0
N/A,77.23,4,436350.0,5650.0
N/A,45.0,2,289000.0,6422.0
N/A,69.0,3,433000.0,6275.0
Osiedle 1000-Lecia,50.0,3,337000.0,6740.0
N/A,85.25,4,528550.0,6200.0
N/A,52.95,3,296520.0,5600.0
N/A,34.34,2,318900.0,9287.0
Przybyszówka,79.47,3,459000.0,5776.0
Tysiąclecia,60.12,3,449000.0,7468.0
Drabinianka,56.1,2,325000.0,5793.0
N/A,113.82,4,330078.0,2900.0
N/A,61.36,3,410000.0,6682.0
N/A,67.32,3,491436.0,7300.0
Przybyszówka,59.38,3,336280.0,5663.0
Przybyszówka,59.38,3,348156.0,5863.0
Załęże,100.44,4,399000.0,3973.0
N/A,59.65,3,333980.0,5599.0
Baranówka,63.83,3,478725.0,7500.0
N/A,72.5,3,405927.0,5599.0
N/A,66.05,3,369814.0,5599.0
N/A,33.0,2,1300.0,39.0
N/A,73.94,3,399000.0,5396.0
Baranówka,78.4,4,648320.0,8269.0
N/A,100.0,4,530000.0,5300.0
N/A,42.95,2,299000.0,6962.0
Słocina,47.23,3,298114.0,6312.0
N/A,59.58,3,351522.0,5900.0
N/A,68.0,3,409000.0,6015.0
N/A,73.41,4,459000.0,6253.0
N/A,72.0,4,489000.0,6792.0
N/A,85.0,4,500000.0,5882.0
N/A,64.5,3,419000.0,6496.0
N/A,92.67,4,666200.0,7189.0
N/A,63.04,3,409760.0,6500.0
Załęże,68.33,4,392898.0,5750.0
N/A,58.79,4,346861.0,5900.0
N/A,87.4,5,579000.0,6625.0
N/A,62.8,3,436600.0,6952.0
N/A,43.89,2,300900.0,6856.0
N/A,49.1,3,415000.0,8452.0
Króla Augusta,36.44,2,279000.0,7656.0
Staromieście,55.0,3,330000.0,6000.0
N/A,62.84,3,408460.0,6500.0
N/A,48.85,3,412900.0,8452.0
N/A,62.61,3,356877.0,5700.0
N/A,64.0,4,452000.0,7063.0
N/A,114.45,6,480690.0,4200.0
N/A,98.94,5,415548.0,4200.0
N/A,72.69,4,407064.0,5600.0
N/A,65.0,3,450000.0,6923.0
Słoneczny Stok,50.0,2,330000.0,6600.0
N/A,44.49,3,297117.0,6678.0
Słocina,74.0,4,499000.0,6743.0
N/A,62.5,3,429000.0,6864.0
N/A,37.0,2,289000.0,7811.0
Śródmieście,33.0,2,279000.0,8455.0
Krakowska Płd.,53.0,2,375000.0,7075.0
N/A,32.0,1,255000.0,7969.0
N/A,53.31,3,296371.0,5559.0
Wzgórza Staroniwskie,73.41,4,440000.0,5994.0
N/A,48.08,3,296662.0,6170.0
N/A,43.16,3,310850.0,7202.0
N/A,63.0,4,500000.0,7937.0
N/A,84.01,3,363000.0,4321.0
N/A,55.0,3,291500.0,5300.0
Projektant,67.2,3,670000.0,9970.0
Staromieście,82.0,4,410000.0,5000.0
N/A,55.0,3,302500.0,5500.0
N/A,33.1,2,299000.0,9033.0
N/A,65.1,4,338000.0,5192.0
N/A,55.8,3,297000.0,5323.0
N/A,71.5,3,419000.0,5860.0
N/A,87.64,3,375800.0,4288.0
N/A,62.4,2,485000.0,7772.0
N/A,49.4,4,399000.0,8077.0
N/A,109.04,6,796000.0,7300.0
N/A,60.01,3,360500.0,6007.0
N/A,44.05,2,291700.0,6622.0
N/A,53.32,3,295000.0,5533.0
N/A,87.64,3,375800.0,4288.0
N/A,49.77,2,314500.0,6319.0
N/A,55.84,3,310000.0,5552.0
N/A,51.62,3,321400.0,6226.0
N/A,57.51,3,352800.0,6135.0
N/A,64.51,3,367500.0,5697.0
Przybyszówka,95.13,3,370000.0,3889.0
N/A,85.21,3,379800.0,4457.0
N/A,57.98,3,318600.0,5495.0
N/A,52.2,3,329000.0,6303.0
Słocina,46.2,2,299000.0,6472.0
N/A,56.23,3,314888.0,5600.0
N/A,54.58,3,305648.0,5600.0
Słocina,53.3,3,329000.0,6173.0
N/A,118.3,5,1039000.0,8783.0
N/A,157.24,5,1267000.0,8058.0
N/A,57.76,3,510000.0,8830.0
N/A,90.67,3,367000.0,4048.0
N/A,75.6,3,325004.0,4299.0
Słocina,54.1,3,319000.0,5896.0
Budziwój,102.52,5,375000.0,3658.0
Baranówka,51.96,3,332544.0,6400.0
Baranówka,79.76,4,430704.0,5400.0
N/A,52.0,2,390000.0,7500.0
N/A,54.0,3,415000.0,7685.0
N/A,64.25,3,385500.0,6000.0
Baranówka,39.21,2,270549.0,6900.0
N/A,57.16,3,446700.0,7815.0
Baranówka,39.19,2,270411.0,6900.0
Baranówka,59.37,3,356220.0,6000.0
Baranówka,96.1,4,470890.0,4900.0
Baranówka,39.19,2,270411.0,6900.0
Baranówka,80.49,4,418548.0,5200.0
Baranówka,66.08,3,396480.0,6000.0
Baranówka,60.77,3,364620.0,6000.0
Baranówka,60.78,3,364680.0,6000.0
Baranówka,41.49,2,286281.0,6900.0
Baranówka,54.43,3,337466.0,6200.0
N/A,37.5,2,329000.0,8773.0
Nowe Miasto,63.0,4,500000.0,7937.0
Baranówka,53.68,3,343552.0,6400.0
N/A,39.25,2,278700.0,7101.0
N/A,66.14,3,383600.0,5800.0
N/A,49.1,3,455880.0,9285.0
N/A,50.09,3,357600.0,7139.0
N/A,44.05,2,291700.0,6622.0
Załęże,62.99,3,362193.0,5750.0
N/A,39.33,2,269800.0,6860.0
N/A,75.85,4,420968.0,5550.0
N/A,34.6,2,255000.0,7370.0
N/A,55.0,3,345000.0,6273.0
N/A,43.0,2,260000.0,6047.0
N/A,70.82,4,385969.0,5450.0
N/A,75.85,4,420968.0,5550.0
N/A,72.58,5,406500.0,5601.0
N/A,53.51,3,362000.0,6765.0
N/A,56.32,3,351300.0,6238.0
N/A,34.36,2,272900.0,7942.0
N/A,72.02,4,505000.0,7012.0
N/A,53.08,3,339800.0,6402.0
N/A,55.8,3,314110.0,5629.0
N/A,34.44,2,254600.0,7393.0
N/A,44.2,2,361700.0,8183.0
N/A,50.0,3,337000.0,6740.0
N/A,52.07,3,280000.0,5377.0
N/A,102.41,4,368000.0,3593.0
