District,Area,Rooms,Total price,Price per meter square
N/A,81.0,3,441000.0,5444.0
N/A,94.0,3,385000.0,4096.0
Warszewo,85.04,4,N/A,N/A
Warszewo,76.78,3,N/A,N/A
Warszewo,28.17,1,N/A,N/A
Warszewo,60.72,3,N/A,N/A
Warszewo,47.55,2,N/A,N/A
Warszewo,38.3,1,N/A,N/A
Warszewo,45.65,2,N/A,N/A
Warszewo,76.78,3,N/A,N/A
Warszewo,28.03,1,N/A,N/A
Warszewo,34.15,1,N/A,N/A
Warszewo,94.53,5,N/A,N/A
Pogodno,100.34,4,1050000.0,10464.0
CENTRUM,80.2,3,475000.0,5923.0
Centrum,29.3,1,215000.0,7338.0
Centrum,30.0,2,305000.0,10167.0
Centrum,114.0,4,810000.0,7105.0
Zawadzkiego-Klonowica,64.0,4,458000.0,7156.0
CENTRUM,36.17,2,219000.0,6055.0
OS. PRZYJAŹNI,59.6,3,329000.0,5520.0
Zawadzkiego-Klonowica,48.0,2,269000.0,5604.0
Centrum,65.0,3,475000.0,7308.0
Zawadzkiego-Klonowica,52.7,3,360000.0,6831.0
Książąt Pomorskich,29.8,2,207500.0,6963.0
Centrum,38.2,2,179000.0,4686.0
Nowe Miasto,26.35,1,225000.0,8539.0
Gumieńce,51.59,2,449000.0,8703.0
Centrum,81.0,3,449900.0,5554.0
Nowe Miasto,26.79,2,235000.0,8772.0
Drzetowo,45.0,3,299000.0,6644.0
Niebuszewo,95.0,4,650000.0,6842.0
N/A,81.0,3,441000.0,5444.0
N/A,94.0,3,385000.0,4096.0
Warszewo,85.04,4,N/A,N/A
Warszewo,76.78,3,N/A,N/A
Warszewo,28.17,1,N/A,N/A
Warszewo,60.72,3,N/A,N/A
Warszewo,47.55,2,N/A,N/A
Warszewo,38.3,1,N/A,N/A
Warszewo,45.65,2,N/A,N/A
Warszewo,76.78,3,N/A,N/A
Warszewo,28.03,1,N/A,N/A
Warszewo,34.15,1,N/A,N/A
Warszewo,94.53,5,N/A,N/A
Pogodno,100.34,4,1050000.0,10464.0
CENTRUM,80.2,3,475000.0,5923.0
Centrum,29.3,1,215000.0,7338.0
Centrum,30.0,2,305000.0,10167.0
Centrum,114.0,4,810000.0,7105.0
Zawadzkiego-Klonowica,64.0,4,458000.0,7156.0
CENTRUM,36.17,2,219000.0,6055.0
OS. PRZYJAŹNI,59.6,3,329000.0,5520.0
Zawadzkiego-Klonowica,48.0,2,269000.0,5604.0
Centrum,65.0,3,475000.0,7308.0
Zawadzkiego-Klonowica,52.7,3,360000.0,6831.0
Książąt Pomorskich,29.8,2,207500.0,6963.0
Centrum,38.2,2,179000.0,4686.0
Nowe Miasto,26.35,1,225000.0,8539.0
Gumieńce,51.59,2,449000.0,8703.0
Centrum,81.0,3,449900.0,5554.0
Nowe Miasto,26.79,2,235000.0,8772.0
Drzetowo,45.0,3,299000.0,6644.0
Niebuszewo,95.0,4,650000.0,6842.0
Warszewo,43.0,2,360000.0,8372.0
Warszewo,61.0,3,349000.0,5721.0
Stare Miasto,79.65,4,620000.0,7784.0
Żelechowa,34.0,2,257000.0,7559.0
Pomorzany,60.8,3,348000.0,5724.0
Pogodno,61.24,3,464000.0,7577.0
CENTRUM,156.17,4,830000.0,5315.0
Pogodno,116.48,3,670000.0,5752.0
Centrum,78.29,3,480000.0,6131.0
Skolwin,80.9,2,189000.0,2336.0
Gumieńce,88.54,5,580000.0,6551.0
CENTRUM,136.3,6,849000.0,6229.0
Niebuszewo,74.18,3,409000.0,5514.0
Pomorzany,60.8,3,425000.0,6990.0
Pogodno,34.0,1,200000.0,5882.0
Pomorzany,61.6,3,399000.0,6477.0
Warszewo,77.42,3,520000.0,6717.0
Pomorzany,69.6,2,349000.0,5014.0
Pogodno,65.0,3,299000.0,4600.0
Pogodno,68.69,3,395000.0,5750.0
Nowe Miasto,54.14,3,307000.0,5670.0
NOWE MIASTO,101.58,5,395000.0,3889.0
Stare Miasto,71.64,4,385000.0,5374.0
JASNE BŁONIA,42.2,2,329000.0,7796.0
KSIĄŻĄT POMORSKICH,36.5,2,243000.0,6658.0
CENTRUM,27.5,1,229900.0,8360.0
Niebuszewo,58.0,2,309000.0,5328.0
CENTRUM,31.43,1,214000.0,6809.0
CENTRUM,32.2,2,235000.0,7298.0
Bezrzecze,144.0,5,449000.0,3118.0
Pomorzany,46.0,2,355000.0,7717.0
Niebuszewo,88.97,3,416000.0,4676.0
CENTRUM,29.96,1,225000.0,7510.0
Pogodno,90.0,3,699000.0,7767.0
Świerczewo,30.9,1,206000.0,6667.0
CENTRUM,65.81,3,390000.0,5926.0
Gumieńce,29.0,1,279000.0,9621.0
N/A,105.0,3,540600.0,5149.0
CENTRUM,84.0,3,379000.0,4512.0
Majowe,87.41,4,395000.0,4519.0
Warszewo,72.0,4,629000.0,8736.0
CENTRUM,60.18,3,450000.0,7478.0
Żelechowa,78.7,3,515000.0,6544.0
Pogodno,145.57,5,564000.0,3874.0
Warszewo,55.01,2,462000.0,8398.0
Warszewo,83.36,3,583000.0,6994.0
Pogodno,91.49,4,699000.0,7640.0
Warszewo,72.0,3,599000.0,8319.0
ŚRÓDMIEŚCIE,87.88,3,349000.0,3971.0
CENTRUM,103.25,1,240000.0,2324.0
Warszewo,73.13,2,479000.0,6550.0
CENTRUM,77.24,3,349000.0,4518.0
N/A,62.7,3,349000.0,5566.0
CENTRUM,175.86,5,449000.0,2553.0
Słoneczne,48.5,2,289000.0,5959.0
Gumieńce,85.0,3,430000.0,5059.0
OS. ARKOŃSKIE,71.63,3,389000.0,5431.0
Gumieńce,50.0,3,426000.0,8520.0
ŚRÓDMIEŚCIE-CENTRUM,59.0,3,550000.0,9322.0
Niebuszewo,30.94,1,184000.0,5947.0
Gumieńce,80.0,4,649000.0,8113.0
CENTRUM,44.1,3,283400.0,6426.0
CENTRUM,42.3,2,271800.0,6426.0
Żelechowa,34.0,2,258000.0,7588.0
Warszewo,75.0,4,440000.0,5867.0
Centrum,38.63,1,281999.0,7300.0
OS. ZAWADZKIEGO-KLONOWICA,57.67,3,339000.0,5878.0
Stare Miasto,79.6,4,613000.0,7701.0
Centrum,44.1,3,271200.0,6150.0
Stare Miasto,62.09,3,370000.0,5959.0
Centrum,41.6,2,255900.0,6151.0
Centrum,36.4,2,261000.0,7170.0
Warszewo,63.0,3,439000.0,6968.0
