District,Area,Rooms,Total price,Price per meter square
Mokre,63.5,3,495000.0,7795.0
N/A,43.1,2,310000.0,7193.0
N/A,38.0,2,280000.0,7368.0
N/A,92.8,4,429000.0,4623.0
N/A,98.37,3,629000.0,6394.0
N/A,49.0,2,380000.0,7755.0
Jar,41.0,2,342000.0,8341.0
N/A,50.68,3,288876.0,5700.0
N/A,27.0,1,195720.0,7249.0
Mokre,63.0,3,495000.0,7857.0
Jar,41.0,2,342000.0,8341.0
JAR,50.51,3,414000.0,8196.0
N/A,48.37,3,333753.0,6900.0
N/A,50.68,3,309148.0,6100.0
Jar,50.0,3,320800.0,6416.0
Jar,52.0,3,343600.0,6608.0
N/A,28.14,1,211050.0,7500.0
N/A,59.73,4,382272.0,6400.0
N/A,48.49,3,329732.0,6800.0
N/A,38.16,2,270936.0,7100.0
N/A,58.44,4,385704.0,6600.0
BRZEZINA,55.87,3,469000.0,8394.0
Piernikowe Osiedle,30.0,1,250000.0,8333.0
Stawki,56.0,3,480000.0,8571.0
Bydgoskie Przedmieście,46.0,2,265000.0,5761.0
Bydgoskie Przedmieście,61.0,2,280000.0,4590.0
Stare Miasto,50.0,2,330000.0,6600.0
Rubinkowo,57.9,4,295000.0,5095.0
N/A,48.7,3,235000.0,4825.0
Koniuchy,50.0,2,300000.0,6000.0
Jar,51.0,3,325000.0,6373.0
Bielany,70.0,3,445000.0,6357.0
Mokre,63.5,3,495000.0,7795.0
N/A,43.1,2,310000.0,7193.0
N/A,38.0,2,280000.0,7368.0
N/A,92.8,4,429000.0,4623.0
N/A,98.37,3,629000.0,6394.0
N/A,49.0,2,380000.0,7755.0
Jar,41.0,2,342000.0,8341.0
N/A,50.68,3,288876.0,5700.0
N/A,27.0,1,195720.0,7249.0
Mokre,63.0,3,495000.0,7857.0
Jar,41.0,2,342000.0,8341.0
JAR,50.51,3,414000.0,8196.0
N/A,48.37,3,333753.0,6900.0
N/A,50.68,3,309148.0,6100.0
Jar,50.0,3,320800.0,6416.0
Jar,52.0,3,343600.0,6608.0
N/A,28.14,1,211050.0,7500.0
N/A,59.73,4,382272.0,6400.0
N/A,48.49,3,329732.0,6800.0
N/A,38.16,2,270936.0,7100.0
N/A,58.44,4,385704.0,6600.0
BRZEZINA,55.87,3,469000.0,8394.0
Piernikowe Osiedle,30.0,1,250000.0,8333.0
Stawki,56.0,3,480000.0,8571.0
Bydgoskie Przedmieście,46.0,2,265000.0,5761.0
Bydgoskie Przedmieście,61.0,2,280000.0,4590.0
Stare Miasto,50.0,2,330000.0,6600.0
Rubinkowo,57.9,4,295000.0,5095.0
N/A,48.7,3,235000.0,4825.0
Koniuchy,50.0,2,300000.0,6000.0
Jar,51.0,3,325000.0,6373.0
Bielany,70.0,3,445000.0,6357.0
N/A,44.0,2,299000.0,6795.0
Brzezina,64.0,3,550000.0,8594.0
Stare Miasto,41.88,2,300000.0,7163.0
Stare Miasto,270.0,N/A,1950000.0,7222.0
Podgórz,37.0,2,255000.0,6892.0
Jar,38.0,2,254935.0,6709.0
Bydgoskie Przedmieście,82.0,4,796000.0,9707.0
Rubinkowo,39.0,2,265000.0,6795.0
Bielany,54.0,4,375000.0,6944.0
Bydgoskie Przedmieście,57.0,2,374000.0,6561.0
Osiedle Sztuk Pięknych,28.0,1,270000.0,9643.0
Rubinkowo,61.0,3,369000.0,6049.0
Na Skarpie,60.0,3,315000.0,5250.0
Mokre,37.0,2,240000.0,6486.0
Bydgoskie Przedmieście,43.8,2,304000.0,6941.0
Rubinkowo,49.0,2,269000.0,5490.0
Koniuchy,33.0,2,310000.0,9394.0
Mokre,37.0,2,160000.0,4324.0
Na Skarpie,61.0,3,369000.0,6049.0
Jar,48.52,3,399000.0,8223.0
Bydgoskie Przedmieście,61.47,2,280000.0,4555.0
Awangarda,43.0,2,289000.0,6721.0
Rubinkowo,N/A,2,N/A,N/A
Mokre,61.0,3,345000.0,5656.0
Chełmińskie Przedmieście,110.0,3,660000.0,6000.0
Jar,58.0,4,356000.0,6138.0
Mokre,56.0,2,380000.0,6786.0
Jar,39.0,2,276000.0,7077.0
Jar,40.0,2,277000.0,6925.0
Jar,39.0,2,271200.0,6954.0
Jar,59.0,4,364000.0,6169.0
Jar,38.0,2,260000.0,6842.0
Jar,38.0,2,260000.0,6842.0
Jar,58.0,4,355000.0,6121.0
Jar,28.0,1,203000.0,7250.0
Jar,39.0,2,272000.0,6974.0
Jar,38.0,2,261000.0,6868.0
Jar,38.0,2,260000.0,6842.0
Jar,58.0,4,369000.0,6362.0
Jar,28.0,1,204100.0,7289.0
N/A,49.35,3,309000.0,6261.0
N/A,66.3,3,365000.0,5505.0
N/A,64.9,3,436000.0,6718.0
Jar,50.0,3,330000.0,6600.0
Jar,39.0,2,275000.0,7051.0
Jar,49.0,3,324500.0,6622.0
N/A,74.8,3,440000.0,5882.0
Jar,52.0,3,334000.0,6423.0
Podgórz,52.36,2,289000.0,5519.0
Jakubskie Przedmieście,78.0,4,560000.0,7179.0
Jar,28.0,1,205300.0,7332.0
Jar,48.0,3,313300.0,6527.0
Jar,28.34,1,204500.0,7216.0
Stare Miasto,78.0,3,465000.0,5962.0
Chełmińskie Przedmieście,44.67,2,285000.0,6380.0
Jar,52.0,3,344500.0,6625.0
Jar,50.0,3,328700.0,6574.0
Jar,50.0,3,327500.0,6550.0
Rubinkowo,61.0,3,330000.0,5410.0
Stare Miasto,50.0,3,320000.0,6400.0
Jar,49.0,3,322800.0,6588.0
Jar,49.0,3,322800.0,6588.0
Jar,48.0,3,318990.0,6646.0
Jar,50.0,3,321600.0,6432.0
Jar,49.0,3,328300.0,6700.0
Jar,48.0,3,312500.0,6510.0
Jar,27.0,1,200400.0,7422.0
Jar,48.0,3,319900.0,6665.0
Jar,38.0,2,265900.0,6997.0
Jar,49.32,3,325600.0,6602.0
Winnica,73.0,3,545000.0,7466.0
N/A,65.23,3,330000.0,5059.0
N/A,50.0,3,299000.0,5980.0
Jar,57.0,3,440000.0,7719.0
N/A,35.5,2,210000.0,5915.0
Stare Miasto,80.0,3,420000.0,5250.0
Centrum,35.0,2,1600.0,46.0
Słoneczne Tarasy,100.0,3,759000.0,7590.0
Na Skarpie,60.78,3,349000.0,5742.0
Wrzosy,64.0,3,416000.0,6500.0
Stawki,66.0,3,528000.0,8000.0
Jar,54.0,4,339200.0,6281.0
Stare Miasto,74.31,2,179000.0,2409.0
Bielany,70.0,4,420000.0,6000.0
Jar,40.0,2,269000.0,6725.0
Jar,59.0,4,364500.0,6178.0
Jar,39.0,2,266800.0,6841.0
Jar,38.0,2,259700.0,6834.0
Bielany,57.0,4,350000.0,6140.0
Bielany,57.0,4,350000.0,6140.0
Jar,39.0,2,272500.0,6987.0
Jar,28.0,1,202700.0,7239.0
Mokre,69.0,3,330000.0,4783.0
Czerniewice,48.74,2,219000.0,4493.0
Podgórz,55.0,2,380000.0,6909.0
Podgórz,55.0,2,380000.0,6909.0
Jar,50.0,3,322000.0,6440.0
Jar,49.0,3,319000.0,6510.0
Jar,49.0,3,321600.0,6563.0
Jar,52.0,3,344000.0,6615.0
Jar,39.0,2,265000.0,6795.0
Jar,58.0,4,356000.0,6138.0
Jar,39.0,2,267000.0,6846.0
Rubinkowo,59.0,3,299000.0,5068.0
Słoneczne Tarasy,78.0,4,554000.0,7103.0
Koniuchy,59.73,3,335000.0,5609.0
Na Skarpie,61.0,3,359000.0,5885.0
OS. MŁODYCH,61.3,3,339000.0,5530.0
Młodych,43.81,2,237000.0,5410.0
Na Skarpie,49.0,2,287000.0,5857.0
Jakubskie Przedmieście,63.0,4,499000.0,7921.0
Podgórz,36.0,2,255000.0,7083.0
Stawki,39.0,2,229000.0,5872.0
Mokre,51.0,3,439000.0,8608.0
Jar,53.0,3,344630.0,6502.0
Na Skarpie,36.0,2,229000.0,6361.0
Wrzosy,64.0,3,436000.0,6813.0
Mokre,61.0,3,359000.0,5885.0
Centrum,86.0,3,358000.0,4163.0
Mokre,61.0,3,359000.0,5885.0
