District,Area,Rooms,Total price,Price per meter square
Zwierzyniec,100.0,4,449000.0,4490.0
Stare Tychy,53.66,3,418548.0,7800.0
N/A,64.24,3,389181.0,6058.0
N/A,43.62,2,266666.0,6113.0
N/A,46.58,2,284064.0,6098.0
N/A,72.71,4,439493.0,6044.0
N/A,46.58,2,284064.0,6098.0
N/A,71.61,4,422901.0,5906.0
Stare Tychy,67.0,3,522600.0,7800.0
os. U,39.5,1,230000.0,5823.0
N/A,35.0,1,209000.0,5971.0
N/A,38.5,1,219000.0,5688.0
Stare Tychy,30.55,1,244400.0,8000.0
Stare Tychy,45.28,2,353184.0,7800.0
Stare Tychy,25.03,1,200240.0,8000.0
Stare Tychy,30.02,1,240160.0,8000.0
Stare Tychy,65.16,3,508248.0,7800.0
Stare Tychy,43.45,2,338910.0,7800.0
Stare Tychy,91.6,4,714480.0,7800.0
Stare Tychy,82.17,4,N/A,N/A
Stare Tychy,114.44,5,892632.0,7800.0
Stare Tychy,82.11,4,640458.0,7800.0
Stare Tychy,41.92,2,326976.0,7800.0
Stare Tychy,69.23,3,539994.0,7800.0
Stare Tychy,117.33,5,915174.0,7800.0
Stare Tychy,88.56,4,690768.0,7800.0
Stare Tychy,73.12,4,570336.0,7800.0
Stare Tychy,69.23,3,539994.0,7800.0
Stare Tychy,34.65,2,263340.0,7600.0
Stare Tychy,34.65,2,270270.0,7800.0
Stare Tychy,73.12,4,570336.0,7800.0
Stare Tychy,41.92,2,326976.0,7800.0
Zwierzyniec,100.0,4,449000.0,4490.0
Stare Tychy,53.66,3,418548.0,7800.0
N/A,64.24,3,389181.0,6058.0
N/A,43.62,2,266666.0,6113.0
N/A,46.58,2,284064.0,6098.0
N/A,72.71,4,439493.0,6044.0
N/A,46.58,2,284064.0,6098.0
N/A,71.61,4,422901.0,5906.0
Stare Tychy,67.0,3,522600.0,7800.0
os. U,39.5,1,230000.0,5823.0
N/A,35.0,1,209000.0,5971.0
N/A,38.5,1,219000.0,5688.0
Stare Tychy,30.55,1,244400.0,8000.0
Stare Tychy,45.28,2,353184.0,7800.0
Stare Tychy,25.03,1,200240.0,8000.0
Stare Tychy,30.02,1,240160.0,8000.0
Stare Tychy,65.16,3,508248.0,7800.0
Stare Tychy,43.45,2,338910.0,7800.0
Stare Tychy,91.6,4,714480.0,7800.0
Stare Tychy,82.17,4,N/A,N/A
Stare Tychy,114.44,5,892632.0,7800.0
Stare Tychy,82.11,4,640458.0,7800.0
Stare Tychy,41.92,2,326976.0,7800.0
Stare Tychy,69.23,3,539994.0,7800.0
Stare Tychy,117.33,5,915174.0,7800.0
Stare Tychy,88.56,4,690768.0,7800.0
Stare Tychy,73.12,4,570336.0,7800.0
Stare Tychy,69.23,3,539994.0,7800.0
Stare Tychy,34.65,2,263340.0,7600.0
Stare Tychy,34.65,2,270270.0,7800.0
Stare Tychy,73.12,4,570336.0,7800.0
Stare Tychy,41.92,2,326976.0,7800.0
Stare Tychy,69.23,3,539994.0,7800.0
Stare Tychy,73.12,4,570336.0,7800.0
Stare Tychy,63.3,3,325000.0,5134.0
H,43.1,2,265000.0,6148.0
H,70.4,3,310000.0,4403.0
Osiedle O,38.72,2,236192.0,6100.0
Osiedle O,37.79,2,226740.0,6000.0
Osiedle O,38.84,2,229156.0,5900.0
