District,Area,Rooms,Total price,Price per meter square
Różanka,120.0,5,695000.0,5792.0
Krzyki,32.69,1,N/A,N/A
Klecina,65.59,3,N/A,N/A
Borek,20.0,1,249000.0,12450.0
Fabryczna,63.0,3,470000.0,7460.0
Swojczyce,44.43,2,453000.0,10196.0
Fabryczna,72.0,4,400000.0,5556.0
Krzyki,45.0,2,439000.0,9756.0
Wojszyce,59.0,3,469900.0,7964.0
Śródmieście,46.0,4,449000.0,9761.0
Psie Pole,48.25,2,395000.0,8187.0
Krzyki,36.0,2,395000.0,10972.0
Wojszyce,43.0,2,360000.0,8372.0
Śródmieście,53.4,2,369000.0,6910.0
Wojszyce,45.0,2,390000.0,8667.0
Śródmieście,59.0,3,490000.0,8305.0
Śródmieście,36.26,2,305000.0,8411.0
Karłowice,88.38,5,618000.0,6993.0
Śródmieście,102.42,6,1080000.0,10545.0
Krzyki,39.41,2,380000.0,9642.0
Krzyki,50.5,2,379000.0,7505.0
Psie Pole,83.0,3,549000.0,6614.0
Śródmieście,28.5,1,290000.0,10175.0
Krzyki,47.25,2,365000.0,7725.0
Śródmieście,42.2,3,349000.0,8270.0
Borek,81.3,3,1200000.0,14760.0
Grabiszyn,62.0,3,580000.0,9355.0
Śródmieście,43.0,2,337000.0,7837.0
Stare Miasto,38.0,2,369000.0,9711.0
Fabryczna,64.0,3,479000.0,7484.0
Śródmieście,77.49,3,490000.0,6323.0
Śródmieście,46.0,2,449000.0,9761.0
Różanka,120.0,5,695000.0,5792.0
Krzyki,32.69,1,N/A,N/A
Klecina,65.59,3,N/A,N/A
Borek,20.0,1,249000.0,12450.0
Fabryczna,63.0,3,470000.0,7460.0
Swojczyce,44.43,2,453000.0,10196.0
Fabryczna,72.0,4,400000.0,5556.0
Krzyki,45.0,2,439000.0,9756.0
Wojszyce,59.0,3,469900.0,7964.0
Śródmieście,46.0,4,449000.0,9761.0
Psie Pole,48.25,2,395000.0,8187.0
Krzyki,36.0,2,395000.0,10972.0
Wojszyce,43.0,2,360000.0,8372.0
Śródmieście,53.4,2,369000.0,6910.0
Wojszyce,45.0,2,390000.0,8667.0
Śródmieście,59.0,3,490000.0,8305.0
Śródmieście,36.26,2,305000.0,8411.0
Karłowice,88.38,5,618000.0,6993.0
Śródmieście,102.42,6,1080000.0,10545.0
Krzyki,39.41,2,380000.0,9642.0
Krzyki,50.5,2,379000.0,7505.0
Psie Pole,83.0,3,549000.0,6614.0
Śródmieście,28.5,1,290000.0,10175.0
Krzyki,47.25,2,365000.0,7725.0
Śródmieście,42.2,3,349000.0,8270.0
Borek,81.3,3,1200000.0,14760.0
Grabiszyn,62.0,3,580000.0,9355.0
Śródmieście,43.0,2,337000.0,7837.0
Stare Miasto,38.0,2,369000.0,9711.0
Fabryczna,64.0,3,479000.0,7484.0
Śródmieście,77.49,3,490000.0,6323.0
Śródmieście,46.0,2,449000.0,9761.0
Krzyki,62.36,2,449000.0,7200.0
Śródmieście,98.23,4,690000.0,7024.0
Krzyki,41.58,2,363617.0,8745.0
Grabiszyn,88.0,3,748000.0,8500.0
Stare Miasto,41.64,2,399000.0,9582.0
Stare Miasto,46.2,3,446000.0,9654.0
Stare Miasto,48.19,2,415000.0,8612.0
Krzyki,56.87,3,520000.0,9144.0
Śródmieście,83.0,3,572000.0,6892.0
Śródmieście,34.12,2,409000.0,11987.0
Śródmieście,38.51,2,349000.0,9063.0
Psie Pole,83.0,3,660000.0,7952.0
Krzyki,34.0,2,325000.0,9559.0
Krzyki,56.0,3,425000.0,7589.0
Lipa Piotrowska,75.82,4,699000.0,9219.0
Śródmieście,73.5,2,460000.0,6259.0
Stare Miasto,39.5,1,419000.0,10608.0
Brochów,57.47,2,490000.0,8526.0
Fabryczna,80.05,3,479000.0,5984.0
Psie Pole,64.5,4,395000.0,6124.0
Śródmieście,40.0,2,425000.0,10625.0
Psie Pole,112.85,5,595000.0,5272.0
Jagodno,39.0,2,426000.0,10923.0
Psie Pole,39.0,2,289000.0,7410.0
Jagodno,47.52,3,377000.0,7934.0
Gaj,45.0,2,350000.0,7778.0
Rakowiec,65.0,3,470000.0,7231.0
Gaj,32.05,2,336525.0,10500.0
Gaj,42.13,2,417087.0,9900.0
Gaj,51.22,3,491712.0,9600.0
Gaj,57.69,3,467289.0,8100.0
Gaj,31.81,2,302195.0,9500.0
Śródmieście,35.11,1,299000.0,8516.0
Jagodno,52.0,3,439000.0,8442.0
Krzyki,49.4,2,394700.0,7990.0
Muchobór Mały,72.15,5,429000.0,5946.0
Plac Grunwaldzki,66.0,3,479000.0,7258.0
Psie Pole,86.4,3,466560.0,5400.0
Psie Pole,77.7,4,396270.0,5100.0
Partynice,56.0,3,475000.0,8482.0
Krzyki,51.95,3,437159.0,8415.0
Krzyki,32.65,2,301686.0,9240.0
Krzyki,38.2,2,329857.0,8635.0
Krzyki,29.26,1,244993.0,8373.0
Krzyki,41.87,2,366153.0,8745.0
Krzyki,41.44,2,360113.0,8690.0
Krzyki,40.68,2,355746.0,8745.0
Krzyki,39.1,2,297160.0,7600.0
Krzyki,50.43,3,432689.0,8580.0
Krzyki,41.69,2,362286.0,8690.0
Krzyki,53.34,3,399516.0,7490.0
Krzyki,40.64,2,355396.0,8745.0
Krzyki,37.83,2,324581.0,8580.0
Krzyki,37.57,2,326483.0,8690.0
Psie Pole,68.0,3,559000.0,8221.0
Stare Miasto,64.0,3,479000.0,7484.0
Śródmieście,94.0,3,599000.0,6372.0
Psie Pole,65.0,4,485000.0,7462.0
Stare Miasto,59.01,2,479999.0,8134.0
Krzyki,41.24,1,410000.0,9942.0
Stare Miasto,74.5,4,559000.0,7503.0
Stare Miasto,35.0,2,420000.0,12000.0
Śródmieście,88.57,4,785000.0,8863.0
Grabiszyn,54.0,4,449999.0,8333.0
Popowice,51.0,2,449000.0,8804.0
Śródmieście,44.0,2,425000.0,9659.0
Stare Miasto,61.0,2,449000.0,7361.0
Śródmieście,42.64,2,479000.0,11234.0
Stare Miasto,91.0,4,699000.0,7681.0
Muchobór Wielki,45.55,2,329000.0,7223.0
Stare Miasto,45.0,3,395000.0,8778.0
Śródmieście,46.0,2,375000.0,8152.0
Krzyki,51.0,2,460000.0,9020.0
Ołtaszyn,70.5,2,599000.0,8496.0
Krzyki,75.0,2,599000.0,7987.0
Krzyki,139.0,5,990000.0,7122.0
Śródmieście,65.0,3,449000.0,6908.0
Stare Miasto,38.0,1,425000.0,11184.0
Psie Pole,65.0,4,485000.0,7462.0
Kuźniki,44.0,2,262000.0,5955.0
Śródmieście,68.02,3,530000.0,7792.0
Śródmieście,62.0,3,570000.0,9194.0
Śródmieście,71.06,2,425000.0,5981.0
Śródmieście,77.8,3,595000.0,7648.0
Śródmieście,60.0,3,499000.0,8317.0
Stabłowice,81.2,4,555000.0,6835.0
Plac Grunwaldzki,21.52,1,307844.0,14305.0
Kuźniki,48.0,2,349000.0,7271.0
Śródmieście,75.11,3,744200.0,9908.0
