District,Area,Rooms,Total price,Price per meter square
Bogucice,55.82,3,373567.0,6692.0
Bogucice,48.58,3,317829.0,6542.0
Centrum,29.23,1,276184.0,9449.0
Centrum,37.79,2,304394.0,8055.0
Centrum,62.48,3,481096.0,7700.0
N/A,44.0,3,303000.0,6886.0
Tysiąclecie,28.1,1,234000.0,8327.0
Dolina Trzech Stawów,100.0,4,900000.0,9000.0
N/A,52.0,2,365000.0,7019.0
N/A,57.0,2,425000.0,7456.0
Os. Witosa,60.0,3,289000.0,4817.0
N/A,56.78,3,266866.0,4700.0
Bogucice,50.53,3,336208.0,6654.0
N/A,56.78,3,266866.0,4700.0
N/A,55.0,3,N/A,N/A
Śródmieście,56.0,3,365000.0,6518.0
N/A,65.0,4,N/A,N/A
N/A,45.0,2,293410.0,6520.0
N/A,55.0,3,358800.0,6524.0
Os. Witosa,61.14,3,339000.0,5545.0
Piotrowice,79.0,3,550000.0,6962.0
Brynów,94.0,3,700000.0,7447.0
Brynów,59.0,3,390000.0,6610.0
Brynów,53.0,3,495500.0,9349.0
Śródmieście,132.7,5,649000.0,4891.0
Śródmieście,47.0,2,299000.0,6362.0
Śródmieście,52.0,2,365000.0,7019.0
Ligota,49.9,3,379500.0,7605.0
os. Tysiąclecia,58.8,3,399000.0,6786.0
Śródmieście,100.0,3,699000.0,6990.0
Osiedle Paderewskiego,100.0,4,900000.0,9000.0
Ochojec,50.96,3,382500.0,7506.0
Bogucice,55.82,3,373567.0,6692.0
Bogucice,48.58,3,317829.0,6542.0
Centrum,29.23,1,276184.0,9449.0
Centrum,37.79,2,304394.0,8055.0
Centrum,62.48,3,481096.0,7700.0
N/A,44.0,3,303000.0,6886.0
Tysiąclecie,28.1,1,234000.0,8327.0
Dolina Trzech Stawów,100.0,4,900000.0,9000.0
N/A,52.0,2,365000.0,7019.0
N/A,57.0,2,425000.0,7456.0
Os. Witosa,60.0,3,289000.0,4817.0
N/A,56.78,3,266866.0,4700.0
Bogucice,50.53,3,336208.0,6654.0
N/A,56.78,3,266866.0,4700.0
N/A,55.0,3,N/A,N/A
Śródmieście,56.0,3,365000.0,6518.0
N/A,65.0,4,N/A,N/A
N/A,45.0,2,293410.0,6520.0
N/A,55.0,3,358800.0,6524.0
Os. Witosa,61.14,3,339000.0,5545.0
Piotrowice,79.0,3,550000.0,6962.0
Brynów,94.0,3,700000.0,7447.0
Brynów,59.0,3,390000.0,6610.0
Brynów,53.0,3,495500.0,9349.0
Śródmieście,132.7,5,649000.0,4891.0
Śródmieście,47.0,2,299000.0,6362.0
Śródmieście,52.0,2,365000.0,7019.0
Ligota,49.9,3,379500.0,7605.0
os. Tysiąclecia,58.8,3,399000.0,6786.0
Śródmieście,100.0,3,699000.0,6990.0
Osiedle Paderewskiego,100.0,4,900000.0,9000.0
Ochojec,50.96,3,382500.0,7506.0
Śródmieście,150.0,4,640000.0,4267.0
Brynów,84.0,3,569000.0,6774.0
N/A,88.0,4,577850.0,6566.0
Piotrowice,60.0,3,265000.0,4417.0
Brynów,35.2,1,129000.0,3665.0
Śródmieście,100.0,3,680000.0,6800.0
Brynów,100.0,3,630000.0,6300.0
N/A,45.0,3,293410.0,6520.0
Brynów,50.0,2,485000.0,9700.0
Giszowiec,32.0,2,199000.0,6219.0
N/A,55.0,3,549925.0,9999.0
Dąb,62.0,3,350000.0,5645.0
Os. Paderewskiego,45.8,2,366354.0,7999.0
Śródmieście,115.0,3,1499000.0,13035.0
Piotrowice,95.0,3,730000.0,7684.0
Załęże,46.36,1,179000.0,3861.0
N/A,37.5,1,100000.0,2667.0
Nikiszowiec,68.48,3,370000.0,5403.0
N/A,36.1,1,100000.0,2770.0
N/A,31.4,1,62000.0,1975.0
Piotrowice,75.2,4,349000.0,4641.0
Centrum,92.0,5,495000.0,5380.0
N/A,60.06,2,170000.0,2831.0
Dąb,78.5,4,799000.0,10178.0
N/A,50.01,2,160000.0,3199.0
Panewniki,53.0,5,299000.0,5642.0
Śródmieście,56.0,3,365000.0,6518.0
Osiedle Tysiąclecia,24.3,1,159000.0,6543.0
Koszutka,120.0,4,599000.0,4992.0
Piotrowice,55.2,3,260000.0,4710.0
Os. Paderewskiego,43.4,2,328999.0,7581.0
Os. Paderewskiego,43.0,2,285000.0,6628.0
Bogucice,62.0,4,289000.0,4661.0
N/A,56.72,3,395000.0,6964.0
Koszutka,50.0,2,300000.0,6000.0
Piotrowice,55.2,3,260000.0,4710.0
N/A,56.72,3,395000.0,6964.0
Dąb,1012.0,8,N/A,N/A
osiedle Tysiąclecia,58.1,3,329000.0,5663.0
N/A,64.15,2,399000.0,6220.0
osiedle Tysiąclecia,72.0,3,395000.0,5486.0
Wełnowiec,49.0,2,282000.0,5755.0
Koszutka,37.0,1,219000.0,5919.0
Ligota,51.42,2,228000.0,4434.0
Śródmieście,133.0,5,650000.0,4887.0
Śródmieście,47.0,2,376000.0,8000.0
Kostuchna,72.77,3,475000.0,6527.0
Piotrowice,105.0,4,699000.0,6657.0
Śródmieście,109.0,3,570000.0,5229.0
Śródmieście,48.0,2,344000.0,7167.0
Ligota,40.0,2,190000.0,4750.0
Tysiąclecie,72.0,3,375000.0,5208.0
Koszutka,50.0,3,275000.0,5500.0
Ligota,70.0,3,449000.0,6414.0
Piotrowice,100.0,3,495000.0,4950.0
Śródmieście,135.0,6,695000.0,5148.0
Śródmieście,100.0,4,1090000.0,10900.0
N/A,49.0,3,250000.0,5102.0
Piotrowice,40.16,2,273088.0,6800.0
Wełnowiec,52.48,3,343744.0,6550.0
Piotrowice,40.16,2,273088.0,6800.0
Śródmieście,77.0,3,830000.0,10779.0
Osiedle Tysiąclecia,62.0,2,372000.0,6000.0
Wełnowiec,37.43,2,276982.0,7400.0
Koszutka,47.13,3,279000.0,5920.0
Brynów,89.0,3,800000.0,8989.0
osiedle Paderewskiego,48.0,2,399000.0,8313.0
Os. Witosa,61.07,3,315000.0,5158.0
Śródmieście,145.0,4,750000.0,5172.0
Osiedle Tysiąclecia,62.0,3,372000.0,6000.0
Wełnowiec,37.43,2,276982.0,7400.0
Wełnowiec,41.06,2,297685.0,7250.0
Józefowiec,52.46,3,445000.0,8483.0
Tysiąclecie,45.0,3,335000.0,7444.0
N/A,57.5,2,250000.0,4348.0
Ochojec,35.75,1,239000.0,6685.0
N/A,36.53,1,199000.0,5448.0
Nikiszowiec,68.48,3,385000.0,5622.0
Wełnowiec,41.06,2,297685.0,7250.0
Szopienice,37.91,1,179000.0,4722.0
OSIEDLE TYSIĄCLECIA,74.1,4,370000.0,4993.0
Wełnowiec,52.48,3,343744.0,6550.0
TYSIĄCLECIA,58.8,3,399000.0,6786.0
Józefowiec,63.0,3,349000.0,5540.0
Nikiszowiec,71.51,3,362000.0,5062.0
N/A,40.9,2,264000.0,6455.0
Bogucice,57.0,2,485000.0,8509.0
Os. Witosa,49.0,2,320000.0,6531.0
Centrum,183.0,6,1050000.0,5738.0
N/A,84.6,3,569000.0,6726.0
N/A,82.0,3,649000.0,7915.0
Centrum,65.89,2,560056.0,8500.0
Dąb,55.29,4,420204.0,7600.0
Brynów,90.0,3,800000.0,8889.0
Centrum,172.0,6,810000.0,4709.0
Os. Paderewskiego,51.3,3,309000.0,6023.0
Dąb,55.29,4,420204.0,7600.0
Bogucice,61.5,3,289000.0,4699.0
Brynów,48.0,2,255000.0,5313.0
Tysiąclecie,50.0,3,319000.0,6380.0
Ligota,70.0,3,449000.0,6414.0
Koszutka,34.5,2,229000.0,6638.0
Brynów,104.0,4,800000.0,7692.0
Os. Paderewskiego,44.0,2,298000.0,6773.0
Józefowiec,38.33,2,261218.0,6815.0
Józefowiec,34.02,2,251034.0,7379.0
